source_excel_row,video_id,clip_id,video_relpath,text,label,annotation,qc_status,qc_note
23,-dxfTGcXJoc,1,-dxfTGcXJoc/1.mp4,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",1.6666666269302368,Positive,not_reviewed,
24,-dxfTGcXJoc,0,-dxfTGcXJoc/0.mp4,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",1.0,Positive,not_reviewed,
25,-dxfTGcXJoc,2,-dxfTGcXJoc/2.mp4,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",0.6666666865348816,Positive,not_reviewed,
26,-dxfTGcXJoc,6,-dxfTGcXJoc/6.mp4,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,0.6666666865348816,Positive,not_reviewed,
27,-egA8-b7-3M,26,-egA8-b7-3M/26.mp4,We're updating it all the time and looking forward to your comments on our videos.,1.6666666269302368,Positive,not_reviewed,
28,-egA8-b7-3M,17,-egA8-b7-3M/17.mp4,"As you have more experience, you have more times exhibiting, you get to know more people.",0.3333333432674408,Positive,not_reviewed,
29,-egA8-b7-3M,18,-egA8-b7-3M/18.mp4,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.,1.0,Positive,not_reviewed,
30,-egA8-b7-3M,16,-egA8-b7-3M/16.mp4,"Third, another big benefit of exhibiting is connecting with existing clients.",0.6666666865348816,Positive,not_reviewed,
31,-egA8-b7-3M,13,-egA8-b7-3M/13.mp4,"What are you doing that's different?"" They always want an answer.",0.3333333432674408,Positive,not_reviewed,
32,-egA8-b7-3M,1,-egA8-b7-3M/1.mp4,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.,0.6666666865348816,Positive,not_reviewed,
33,-egA8-b7-3M,6,-egA8-b7-3M/6.mp4,First exhibiting is a wonderful opportunity to network with other legal vendors.,0.6666666865348816,Positive,not_reviewed,
34,-egA8-b7-3M,9,-egA8-b7-3M/9.mp4,"Secondly, another goal of exhibiting  is building your company image.",0.3333333432674408,Positive,not_reviewed,
35,-egA8-b7-3M,20,-egA8-b7-3M/20.mp4,"Now you've got a face that you can connect with a voice, and that makes you closer to that client.",0.3333333432674408,Positive,not_reviewed,
36,-iRBcNs9oI8,3,-iRBcNs9oI8/3.mp4,"Well, it is the secret of power pose",0.6666666865348816,Positive,not_reviewed,
37,-iRBcNs9oI8,7,-iRBcNs9oI8/7.mp4,"Well, for starters, let's look at the word ""power""",0.6666666865348816,Positive,not_reviewed,
38,-iRBcNs9oI8,6,-iRBcNs9oI8/6.mp4,What is a power pose,0.3333333432674408,Positive,not_reviewed,
39,-iRBcNs9oI8,9,-iRBcNs9oI8/9.mp4,Power is similar to strength,1.3333333730697632,Positive,not_reviewed,
40,-iRBcNs9oI8,8,-iRBcNs9oI8/8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",1.0,Positive,not_reviewed,
41,-lzEya4AM_4,5,-lzEya4AM_4/5.mp4,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",-0.6666666865348816,Negative,not_reviewed,
42,-lzEya4AM_4,6,-lzEya4AM_4/6.mp4,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",-0.3333333432674408,Negative,not_reviewed,
43,-mJ2ud6oKI8,1,-mJ2ud6oKI8/1.mp4,There are a dozen or more hands on techniques that we can do,0.0,Neutral,not_reviewed,
44,-mJ2ud6oKI8,2,-mJ2ud6oKI8/2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,0.0,Neutral,not_reviewed,
45,-mJ2ud6oKI8,6,-mJ2ud6oKI8/6.mp4,They are all very safe,0.3333333432674408,Positive,not_reviewed,
46,-mJ2ud6oKI8,9,-mJ2ud6oKI8/9.mp4,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",0.0,Neutral,not_reviewed,
47,-mJ2ud6oKI8,8,-mJ2ud6oKI8/8.mp4,Sometimes we have to stretch that joint that is already irritated,-0.3333333432674408,Negative,not_reviewed,
48,-mqbVkbCndg,0,-mqbVkbCndg/0.mp4,"How, at a particular moment in time—our moment in time—are they limited",0.0,Neutral,not_reviewed,
49,-t217m2on-s,2,-t217m2on-s/2.mp4,"But a good thing to do is yawning, chewing gum is effective.",0.6666666865348816,Positive,not_reviewed,
50,-t217m2on-s,7,-t217m2on-s/7.mp4,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",-0.6666666865348816,Negative,not_reviewed,
51,-tANM6ETl_M,3,-tANM6ETl_M/3.mp4,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",0.3333333432674408,Positive,not_reviewed,
52,-tPCytz4rww,11,-tPCytz4rww/11.mp4,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",0.0,Neutral,not_reviewed,
53,-tPCytz4rww,10,-tPCytz4rww/10.mp4,Say twenty percent so if you've got a thousand square foot condo.,0.0,Neutral,not_reviewed,
54,-tPCytz4rww,12,-tPCytz4rww/12.mp4,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",0.0,Neutral,not_reviewed,
55,-tPCytz4rww,16,-tPCytz4rww/16.mp4,So make sure to get a through or to do a through cleaning of the property.,0.0,Neutral,not_reviewed,
56,-tPCytz4rww,18,-tPCytz4rww/18.mp4,Do so and as well you'll also want to remove any clutter from that you've accumulated.,0.0,Neutral,not_reviewed,
57,-vxjVxOeScU,4,-vxjVxOeScU/4.mp4,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",1.0,Positive,not_reviewed,
58,-wMB_hJL-3o,7,-wMB_hJL-3o/7.mp4,So if you have a loved one who is depressed those are some of the things that you should think about doing.,0.3333333432674408,Positive,not_reviewed,
59,-wny0OAz3g8,1,-wny0OAz3g8/1.mp4,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",0.3333333432674408,Positive,not_reviewed,
60,-wny0OAz3g8,0,-wny0OAz3g8/0.mp4,trade labor unions didn’t allow Black workers to join,0.3333333432674408,Positive,not_reviewed,
61,-wny0OAz3g8,3,-wny0OAz3g8/3.mp4,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,-1.3333333730697632,Negative,not_reviewed,
62,-wny0OAz3g8,2,-wny0OAz3g8/2.mp4,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",-0.3333333432674408,Negative,not_reviewed,
63,-wny0OAz3g8,5,-wny0OAz3g8/5.mp4,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",1.0,Positive,not_reviewed,
64,-wny0OAz3g8,7,-wny0OAz3g8/7.mp4,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,0.0,Neutral,not_reviewed,
65,-wny0OAz3g8,9,-wny0OAz3g8/9.mp4,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more",0.6666666865348816,Positive,not_reviewed,
66,-571d8cVauQ,0,-571d8cVauQ/0.mp4,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",0.0,Neutral,not_reviewed,
67,-571d8cVauQ,5,-571d8cVauQ/5.mp4,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",0.3333333432674408,Positive,not_reviewed,
68,-I_e4mIh0yE,1,-I_e4mIh0yE/1.mp4,In the United States we don't punish failure to the degree to which failure is punished in Europe.,-0.6666666865348816,Negative,not_reviewed,
69,-I_e4mIh0yE,3,-I_e4mIh0yE/3.mp4,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",0.6666666865348816,Positive,not_reviewed,
70,-UacrmKiTn4,10,-UacrmKiTn4/10.mp4,"Because, if they are not in any way held accountable for reading the material they won't do it.",-0.6666666865348816,Negative,not_reviewed,
71,-UacrmKiTn4,4,-UacrmKiTn4/4.mp4,Just given to their own devices they are not going to read the textbook.,-1.3333333730697632,Negative,not_reviewed,
72,-hnBHBN8p5A,7,-hnBHBN8p5A/7.mp4,"Picture this, before we actually start hacking, we’re in a room formal setting",0.6666666865348816,Positive,not_reviewed,
73,-hnBHBN8p5A,6,-hnBHBN8p5A/6.mp4,"Discussion, how to discuss ideas and opinions more effectively than a native speaker",1.0,Positive,not_reviewed,
74,-qDkUB0GgYY,6,-qDkUB0GgYY/6.mp4,"We always love to hear what you say, and like and share this video as well.",1.3333333730697632,Positive,not_reviewed,
75,-uywlfIYOS8,4,-uywlfIYOS8/4.mp4,"And then from a brand point of view, we need to make sure we're driving the relevant insight.",0.3333333432674408,Positive,not_reviewed,
76,-6rXp3zJ3kc,8,-6rXp3zJ3kc/8.mp4,Many people are not until they get to be a older age and they realize that gosh they wasted a lot of time and money in placing bets on stock that's ultimately lost value.,-1.0,Negative,not_reviewed,
77,-9y-fZ3swSY,0,-9y-fZ3swSY/0.mp4,"is, you can say, hey I really like baby skin, they are so soft, they don’t have any hair on their face",1.0,Positive,not_reviewed,
78,-9y-fZ3swSY,4,-9y-fZ3swSY/4.mp4,I’ve seen this in US or in the US,0.0,Neutral,not_reviewed,
79,-9y-fZ3swSY,8,-9y-fZ3swSY/8.mp4,That’s a more decent and more polite way to call a lady,1.6666666269302368,Positive,not_reviewed,
80,-AUZQgSxyPQ,2,-AUZQgSxyPQ/2.mp4,"The perfect soul mate to the Clarisonic Spot Therapy Brush, this gentle, Ph balanced and hydrating exfoliant containing jojoba and acai fruit oils and bamboo and prickly bear extracts deliver intense healing, while smooth granules buff away dead, dry skin cells.",0.6666666865348816,Positive,not_reviewed,
81,-HeZS2-Prhc,2,-HeZS2-Prhc/2.mp4,The August jobs report is out and it was seen overall as solid but not great.,0.6666666865348816,Positive,not_reviewed,
82,-MeTTeMJBNc,0,-MeTTeMJBNc/0.mp4,"Okay, what happens at this point after we've taken this brief walk down memory lane, is the presentation of the gift.",0.3333333432674408,Positive,not_reviewed,
83,-MeTTeMJBNc,13,-MeTTeMJBNc/13.mp4,"It just needs to be a simple statement, and then you present the gift.",0.3333333432674408,Positive,not_reviewed,
84,-MeTTeMJBNc,7,-MeTTeMJBNc/7.mp4,"Maybe you could find a picture of the couple from their wedding or sometime in their life, or maybe even a current picture and have it put in a beautiful frame.",1.3333333730697632,Positive,not_reviewed,
85,-RfYyzHpjk4,11,-RfYyzHpjk4/11.mp4,"So get your friends lined up, get your business colleagues lined up and have a good time.",2.0,Positive,not_reviewed,
86,-RfYyzHpjk4,8,-RfYyzHpjk4/8.mp4,"It's pretty, pretty easy to do but you got to set up those numbers ahead of time.",0.3333333432674408,Positive,not_reviewed,
87,-RfYyzHpjk4,2,-RfYyzHpjk4/2.mp4,"You can make a conference call but it takes quite a bit of planning, well not a lot of planning it's pretty easy to do.",0.3333333432674408,Positive,not_reviewed,
88,-UUCSKoHeMA,0,-UUCSKoHeMA/0.mp4,"I mentioned a word in the last clip called 'monotone', and I want to talk about that briefly.",0.0,Neutral,not_reviewed,
89,-ri04Z7vwnc,0,-ri04Z7vwnc/0.mp4,going to get married or are already married,0.0,Neutral,not_reviewed,
90,-ri04Z7vwnc,2,-ri04Z7vwnc/2.mp4,"most people think it'll sort itself out, ""we'll discuss it later,"" it's not something too important",-0.3333333432674408,Negative,not_reviewed,
91,-ri04Z7vwnc,5,-ri04Z7vwnc/5.mp4,""" So I think it's important to discuss finances",0.3333333432674408,Positive,not_reviewed,
92,-s9qJ7ATP7w,1,-s9qJ7ATP7w/1.mp4,"But the hardest thing in life to learn, is to lose",0.6666666865348816,Positive,not_reviewed,
93,-s9qJ7ATP7w,0,-s9qJ7ATP7w/0.mp4,"they have doubt, they have fear, they lose in a Ferrari race, or they lose in a race, and then they just give up",-0.3333333432674408,Negative,not_reviewed,
94,-s9qJ7ATP7w,5,-s9qJ7ATP7w/5.mp4,"I have been beat up and put down and everything that can go wrong, has gone wrong for me",-2.0,Negative,not_reviewed,
95,-s9qJ7ATP7w,4,-s9qJ7ATP7w/4.mp4,"I have lost at everything you can imagine, seriously",0.0,Neutral,not_reviewed,
96,-s9qJ7ATP7w,7,-s9qJ7ATP7w/7.mp4,"I used to work for Warren Avis, the guy who started Avis Rent a Car, and he said to me one day, ""Robert, ""what's the purpose of business",1.0,Positive,not_reviewed,
97,-s9qJ7ATP7w,6,-s9qJ7ATP7w/6.mp4,But I just kept going,0.0,Neutral,not_reviewed,
98,-s9qJ7ATP7w,8,-s9qJ7ATP7w/8.mp4,""" And I said, ""Oh, make a profit, and all these other things",1.3333333730697632,Positive,not_reviewed,
99,-yRb-Jum7EQ,1,-yRb-Jum7EQ/1.mp4,"it comes with the assistance and agitation of states and regimes, Yesterday Iran announced that it will finance the families of the terrorists and murderers this shows that Iran, even after the nuclear agreement, is continuing to aid terrorism, including Palestinian terrorism, Hezbollah terrorism and its assistance to Hamas.",0.0,Neutral,not_reviewed,
100,-yRb-Jum7EQ,5,-yRb-Jum7EQ/5.mp4,"Yesterday Eliav Gelman lost his life in another terrorist attack, not by the students of terrorism, but by those who teach terrorism, a Palestinian teacher.",-0.6666666865348816,Negative,not_reviewed,
101,-yRb-Jum7EQ,6,-yRb-Jum7EQ/6.mp4,"Therefore, the world needs to stand with Israel against this incitement, which is the number one cause of terrorism.",0.0,Neutral,not_reviewed,
