sample,source_words,bert_tokens,hidden_size,finite_values,alignment_join,alignment_status,alignment_review_flags,output_sha256,transcript_sha256,alignment_sha256,run_signature,status,error
sample_0011,18,20,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,47eba9e732aee2de506197639cf0ef8759d4164c8ef99ca05bc3c7b1e01525f5,e3fa55c11a999a6030adcdfc65b49fa787b504a4b2e3b643e9819463b6436fb9,9deaec193462c8dddcfa3879a3b3ef5f8e9f32c6a433019c553a4d71a9790dda,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0012,39,44,768,true,exact,auto_checked,,eb56d3fdec5e39808601590988cceb6c7e9918757e19e84b3b38804e0d71e0cf,f66e02fa0f0d11a8a87d7ae6eb144d2983f235e0767c6e8e717ad6081831c0d9,a9b7fea034964d5ee6c19f1bb93aa3d1c1f611649a1dc6910d09f4b833b08fa5,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0013,10,13,768,true,exact,auto_checked,,1538421af0306fcafcfcfe0152d2cd8b47ba42276b389d2f571582c2c8256711,1094289c482666b9c7624027542558ecac07bc45a9c2977d3bb964c8431b64d7,cdfff865aff04dd0b94fc106f5c4fb85ecff642251c04d03297b269c03af147d,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0014,30,34,768,true,exact,needs_review,low_ctc_probability,8845f9204870ae92cdb1dc5163b796971029ae4e38c83b3f6cd5c8cb1d046e7f,ff0a44df1b28408b6c2cc3ac9c9ca75ba39a594ed59ec2244b25efa93ca7290f,a1bed7ef1d192ac2f74dda444029f3b22f40fb93ea66731f163a6674b8cb6049,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0015,27,35,768,true,exact,auto_checked,,fcdeb177ecf63b64d6ab61dfee2b7c8dfb277a9bcfe7bca2be75e2a649ae9811,36409a672db653d61653e4d4502ae82ccf959f80d172199022b6fa0ee66a6477,acc7e815ffc82ab3b70b0411c586c15dc77f6c167bd1cc6a14c1ecad4d710256,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0016,9,14,768,true,exact,needs_review,low_ctc_probability,cb14e0acebeb91af21bade1d095966d4d391acc337b9eda1ebe23bbbe4245f46,8e5864e1c240de55cb429cbd6230768d64e623a24c60872473907ba801977530,bddabe5572add216c3fdf03bf96aa40337ee12bf43521d17835d640934b24b0d,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0017,9,11,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,8911a85e7ebc2cae9359bf2de87bee0e007300321a470ffc329fd0327c6b8183,da42f76b0ced73cc78ae3f0b290e2ee611d19e3556bb76d62c3c6230d4cc4b2d,138c51ba50c77f32114bde71f3787d26e329cad456d784ea410dd99f4bdcffc8,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0018,22,25,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,e68200f69ddee17ff4e319501d0385799dd684422bebf97d52c6224352df0a69,e2c054ac967686a1759bc7948266e76b60f24856b1b576db92ae86e8e7280c59,92a5379399f5722e0d531ee22e60c1b59386c59727ba29cb9e7cd4b484977ad3,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0019,65,84,768,true,exact,needs_review,low_ctc_probability,e3efc561dae9b735f03e48f6cd5136442118e472ae3808deef8c4d08a5a0b64f,5fb87ab22ab30d653f463a042dfff4de8e1c86ce158ec88a819411df55941943,45d2e3081f85a57f20c1c812eed1b29dfc0f0df43b028b0644ecf43a3190e7c6,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0020,18,25,768,true,exact,needs_review,asr_disagreement,05ef96ce4291d1b68351bdaa53d4e1d0db2b17a21c77448dcbdcd6976aa850e5,357d31bd7a85ead03ed7bf23ff3965388e78d86c59f3558e607c4a58dd982e22,cd2c8a176fdf2d5b9e9f6c9f1d3e96b9851548a62562855d0b7a4c1199aac5ba,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0021,14,18,768,true,exact,needs_review,asr_disagreement;long_word_span;low_ctc_probability;numeric_reading_review,a3f7ba245d89d3c99647b2608b8a573f19cf84270e5be3ec29f007cc6e759a1b,ed2e5d24b8326f2cbd41f06d9e1606746a1f9c302ad47e65723605f6fa9fed1e,aa0654f77ca9f9cb915a4f4f559617769f18f7a7234e91d562f7e673343ca356,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0022,36,44,768,true,exact,needs_review,numeric_reading_review,69faa9df15c5734939c30c3df8a3ab3381f4dfeb27347b6c04670873227c2d53,7264a3b8886102eedba485807edbb00abad90e60f85c1bc21cf23395b498ebfa,a020d4df6a695bc915709005a68213173041b42b110e22418f3d3f781010de57,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0023,41,62,768,true,exact,needs_review,ellipsis_title_review;numeric_reading_review,d5bb7bc8d30e5e88cbf86fd575abba0423d7d43590eff922c030dad7eaaaa513,ea04aec85b49688311b4655200ca5363047258d662d7b7aa1155b3dc0e767090,d28bdb37e122ede78d88b099fe658fa5afc8fbc89c7d587df5b06d392c1d590d,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0024,34,42,768,true,exact,needs_review,numeric_reading_review,f350b4a2d685596cd51ee0680134f17215a2c70234473ffaa3ef5acc7689a98b,c699d0a24ff210a5e70956097ac4961a7553b2d75e062c316e536e3eadb0613c,518c343aefb9248fdba24d9ec224a79a26f0d51a0522d9e30053029c9fb3f459,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0025,27,34,768,true,exact,auto_checked,,fe4fefbae9a9f05f64d3864a083341da24709b0f580e677c63b53ac7d3feebb6,a835a8ff3f92a75b95e7c95daf1308a6b60b7e938cae5e893630c64c5291e076,e7c7968178d26390cd8c8d5c05ee57a4d4faf660bed082641c57e9fb4227c085,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0026,15,21,768,true,exact,auto_checked,,4e1983c3ea2b8a78f5e500f4952117453a8c01e8f092e602b3ffd68379e8a651,57dfcca31da6ebc3890da73654c8b44346d78eae2f1ee8bc8ad41f39b2b8fc10,7ab63804e2efeab481775d34b8a6f379b8dbbe1670926be38dc35e9d61817a29,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0027,16,21,768,true,exact,auto_checked,,f76daf898fae651b94987a482027a5e8ad715e127992353350246468ab01c1d1,979b2fe6ff1090964be7311d2794106640028a26397f696f3410b16d440cf6e0,424b675e076078dcdd9cb7f37628f822806dc3fb93c09f19e72259bc3ca7bec4,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0028,22,29,768,true,exact,auto_checked,,67fcc6af4a5c9eef3ef865842073b7d421e13004a9850d8dee994280162a31f8,f9ca5d6cd8092dfb86bf9c24e1bf22bb2020a88c30e5d6895f15d8334badfeb3,17183e2f1f4956e4c3d9fc9e24e7e93b58fcd25698f71a413a4fe0a60606f1a7,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0029,11,15,768,true,exact,auto_checked,,cf60b8c2e73400275f695392cd226d655ac6b7c7558814dcddaf9107fe3d9842,6b3a71aaf936c46a861b702c61b5ba0c2984cc60da992f39a725919994fc5b2a,d9667d19498bd27faffd2c754efc3675f826cfc18b36fc8f3d7dddb501308f60,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0030,11,18,768,true,exact,auto_checked,,67092a6da01012e4bfcd9e9442195678ce005ca464b7a644ade68d8222ab9a72,31e06bfd066f5eabfce83f6afbb3fe97c0c1f20c4dc5f88fd29ab92b7e2dced2,aefb04662a55cdff368272dd41766e2a550e3985ef54caa7252c5177de9c93d6,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0031,20,24,768,true,exact,needs_review,numeric_reading_review,22305d89660ccf44c66dcc6df041293a540ac90aa30521e2fde04467921037fe,51a43241a4907afa84e3ba3f9fc188eb045a2d63c24a6fe67b7f4a9a60b59dd5,a02bd182a4b769cfec3f6f34f027dec02759ffc5b179833cfcd54a0da626f102,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0032,12,15,768,true,exact,auto_checked,,1b9e034d8f4ccd3a128781a319d1b50654f358dedbedb151b0c132513c4327cc,b98c6975a7f19c8f12491fc3bb3d8d605950b41615c28e4631c3363aefbe8de6,a71059da4a17d7e1c4bf6b6ac9847cc124e317f4fcdf7aa3b4ad08c4797ce73e,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0033,10,14,768,true,exact,auto_checked,,d83f6d66620c5bdae3a4cce4fb8e58805fb4d8201c200d3ee82e65d1567f655c,8200dcc9204cbda2b4c2f4dc70ed0f502f5160841a03fe67d16870219cf30d90,843018f8577224925c7c4030c5702315234c378a88566313d8ed55aaafee728d,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0034,20,26,768,true,exact,auto_checked,,c5fb80194ddbf6f00e84436d2f33be259593f3af8efac92b548b43b88b5a60fe,2997ee5650dda6f858bcc4f971f157b26b57bca319f3db435c46b6bc9dfc01d3,585628aaf20754ebb918f0d28e313c4302de86d8fcea2cb38bd296a16c1ea072,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0035,8,11,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,b6e4b148a52a4c1965b1cf32031d3b9e7db8d134575c3aa145d86ac47961589f,74ff88671014acdb3aa95ed965c04e597c2894bc5e2510e834841372ec31d977,07bdd1ecc9da2e777fd2e164343491e59440e977ec774be58c40dc66e6ee7b37,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0036,9,17,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,a0d682063eaa8878e9f2e3e895f3d43811e0a00b9cdb074359b2128decffdaf5,f2ccb178171be521c123b772104e205402a7397a3add0912e887c1df79b2da01,d97a4dca9b7bb1d815eb1539ff108029455ff99f33c96bc78739f5327cf46714,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0037,5,7,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,714e7cee18368594e03e44a6177f96f5de92e7539cd32ec21532dfef92f2d08c,8b90c98e534344214d67a63ba80f4382929724c610d096f5740da1b2b8bfb1f5,2531bfca7fa862124320c0623b4f67333e1b44e09ccbe7f1d895fabaa9a5a03a,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0038,5,7,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,a8966c44d57230c03302a59913f76be6726b1567b472e123929589baa87f2909,77cfcd2dd3fe84ebeb9790e9e6d4c6cabd5e5ba4fdabfd581963eebbd450fba7,9aa6cd4e52a21a9a965432e250adb1d779c875fd4e6c020e8af05e1747e11c7e,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0039,21,28,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,9b34ed7885575187c65337e74590b185e0369ed380bcce2148852d03c944e9bf,8bf39f02221f36bddb8b51da6b6156a29d9cb435c1b1294db873b5956fc6e0a1,3aa827b8c0f80f77f9f6f9fe145ae77c18a930e2755cfbcf604d7a606a59331a,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0040,19,23,768,true,exact,needs_review,low_ctc_probability,886047dca2b770844873cc6a0ce9d9d5a200c4981daa2b4d8e337a67a4509f6e,35fcdf82141bdf73ce0241597e565d4fd002ccc799d6dd0ad3d1ef73c7752968,4d1bb739368a2503b0845962bf4ebae37b4c5da1099de7b5e88fa4706ea56dcc,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0041,43,50,768,true,exact,needs_review,low_ctc_probability,7b1b24aade1ee3380300fc3595c79aee2f492037be519e11b8292422727d5122,fabeff19e5d6ebada7f1781ee2216e38f9de68a5663ff81db310a970026924ef,2e3b30cdc9e1c39ad98eed05103990ddf327eb60c446a79c1683f0a25fccb25f,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0042,13,15,768,true,exact,needs_review,asr_disagreement;long_word_span;low_ctc_probability,906a25edba74405e4755f3ab9cc6c42b325c2220cd47b9c413c0b92dca9821b7,26b67ad884639a25bddf06e9d77bcea529051bb8110a660e2f2742558c093b4d,f2317acacd469eea90e7e0d0ec96e89c12ddf6c6251ab295b10b7736cc58c9b1,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0043,11,19,768,true,exact,needs_review,asr_disagreement;long_word_span;low_ctc_probability,a0569ec6645883f1685d50aad6f4a7a08b6cfb9c1b00df7ed3661574a77a7021,672f0f80a7c9d3bdfe1dc1ab5a611f4dd39f48cbf8cc92518fc2d9a63106f872,70e7e156774b6623e063c5dd42a5f7a64887973ac44f98b1d3d2c2746c72e8e1,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0044,5,7,768,true,exact,needs_review,asr_disagreement,2a0a2730be069c42de4bb421bb5780a0d5b39de6854d181cab829b50faf95e1a,f405d94b07de80ee5c8ec3140ca886ef28f35821d5e3484172a0e3dd8a510f80,f255d0a1b7e0e89fb33f655f5f247d772c18747d0c322c3570be21801e4b1159,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0045,22,31,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,5347f4abe89931b7bb4504350fd0a8efd15202870e3090bcd47a92859a481af4,765d339019d906539f8b80ef2a5d82081fafe052d9e525595c6bedb30d822753,2e8ecc6a9bcfce9a5d65ec4e97ac0ca9943171d0dbf9771e1df42db3b63918e1,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0046,11,13,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,0400ce131b843cde2bd412b0dd0a9c711b31690fbfacdae2711a9cdb5a14e051,2e12bc73d35a01c69f16156d6cb6f845532fd8e0876dc09ff94424e559b52515,6806ae2ac604df6e3efd36ba385262d362f8a527e6c6092aa9fdc79405d97faf,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0047,12,19,768,true,exact,auto_checked,,7c995d3c7af5d550eccb53cae8bdd969fb9adc0a7136217c5ffe2181d2475916,d2ec71d71a32912fa5fbf0916e1ce4f1673086a766e20ca968e1233418e0ec5f,696f98c4918e2aeba8055f1d5528c00f69ce764cc9200b04944615e64364c3d9,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0048,12,18,768,true,exact,auto_checked,,3c70783f1181c7818b9e8efc2241324ba1e45ecae289a532d8d417fab86ca0ca,09793b16c6e1b6b44ada9e79a3636bf42ba37ffe83e6a98739e10c49dfb52fb0,f53693c02c965a5ad9338f32f3b33a866cb3f1afc1409ce621924901dc743b80,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0049,45,55,768,true,exact,auto_checked,,eeecebf09c260cf638b11683d00f8e058f6e1213082bb41c2fd7bbb773570d67,5b422b896fda787c86ddf5d5df10dd0f8f704ac91bf5848f0abc5d1895bac110,91af8e372e220ce3be9cba4aaf1483a3cc890a29d7073bc01e083d9421538717,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0050,22,31,768,true,exact,needs_review,low_ctc_probability,2d5d41911b8530b575c039289628e5df171d103981246075618ae05987c2a577,d0f8beb9e36254b4a7b32872ec3956aa92d44589400f7a4f15af8da5549a015c,e5e9920eeb2ea22ce6b833a3212f882a49d7264b388bbf71d3c8b61ade4a53cd,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0051,17,22,768,true,exact,auto_checked,,e52f82155888ada92ef9f543c9b7699463beece186b0561057016522bad3cc27,08095db71ec8c8631236facd96a7cac07ab7ed0ff853867cebefb7e96358253a,ffa61a47336dcf2c6d35ad152dfedb2cc7844fa4f85cd3ed80f029f65cd98d0e,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0052,12,17,768,true,exact,needs_review,asr_disagreement,3206138a0ec93e021bf431d32981f45f1c73fcf2e2cc8b05be284967663686a8,c54b57e82c1769ce9a038b3d3ad3a81964c222e375792134fe3ea321c0db43b1,6fa502769dc2fe9d3a40e4d44481ef1d6be596d9893aaf06d642fe9c0f22b058,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0053,26,30,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,4ccddee25bb1480ba3ad1dac07456e31c03d28977ed510f65fd806f922944b06,935dc7e6e8455bd1acb4066d756b9a009ef0b12339458c64be18674d50b101cf,3903d087cc1341fc7a7001f1edf52710c42d88c6388896b2e17b3e1501f13479,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0054,16,19,768,true,exact,needs_review,asr_disagreement,3299f79ae704b3d88bc2ae74e94f52e9b8fe9020d730e717157416da833841d6,06d8880f7151da8278664f4dcafe60368bba0a01955b6b9a8c9f5a688372e695,5deaa087a35c120cbc3591ae2bcaaf16033563a1f0610b0877aeb70f01cea37c,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0055,16,24,768,true,exact,auto_checked,,0bfc85f45b66984556c29c36d508b483301feb1f1b8b74351eb240055cb8cc0f,0213c1bbbdbbb60fb70172c4e6d51aeb74a7205151d2d798b7c96667d414c722,20abe3b8b97d096a000e116f24f3b35fd4fb59a66ba22ffd9c8a7574d053fd7c,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0056,21,29,768,true,exact,needs_review,low_ctc_probability,5eb5323fbea52e7e6805f0037d431c2bd1f4fc473c31a441fb189e3428596687,663559f09b501b1f8f041ae288e9e3ccc4fda3bace7c391d86afcff32386cc08,6f45d3a0f425b8b703aecc3a392d28dbc1110b51939dfa73506362c53a26a9c9,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0057,22,25,768,true,exact,auto_checked,,eaee4ad00cdc6c803a4f9c6efbb02a0a2f04d29b449936854bfd5540d26363d9,092fd4485c2e7d5d4e7bdadaec522461a3f5fa45af4a148441d44ae495c3f238,a6e54a012fc3c4aec392f4f74228e05fa4579746e0741aeb9e26db1ad9a219ca,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0058,23,30,768,true,exact,auto_checked,,6afa2a06c6b843d1f2aa59ac5837200f90b416168924b23d535f173c7fb25124,4811dd2512e12a41704b25c37961cd00ee1857e5083a2f5c69d999b68ae96b13,2f1e0c65bd857539f24b03f9d86d40b65f506013dc17b9bb0f59c0ea87ee69d5,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0059,9,13,768,true,exact,auto_checked,,8c38fb08d5408001e6bad713794c39d0ec8d4cce432b32e698fdcec8676f20db,fc637fb7e309729db1c10e9b2ec896a95f87238560df6594154a54550c85e49e,3971ce6f24bc3e61b59e9b8fe6436fc5849b493835c839c441c8dfc363a8b4f4,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0060,20,22,768,true,exact,auto_checked,,43d2b766ad79fd8d242f1ff3cd1dc3bf4422287185b5976ea1755689d2cb824c,55e3d9778d6c54ba0e345c732f64ab71f89a40e8b4ba4cc95c00fd1ef14d20b4,f9eddca70c66d8b407292fdee9f1b1f4b9328f058d948e480a96f4b62de39325,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0061,23,30,768,true,exact,auto_checked,,e5a5512c39ac9c8cb7c7db67dbe84111bd0fb5e80df308c597b7ef200148a367,15562d374fc676ee0cb47bfe1b8bc536a34dd1fe30681b6507be3cdff47a08d3,f4440e12dbd7abfa7e8894c4e6582094d2d7ac45a31f4d4602a19ec602b4a127,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0062,20,29,768,true,exact,auto_checked,,54b1b35b102a0ebe0ac8dd15a1b7fa6cfaabf3606d9fbe87a1bfde1cfca860d2,9c9828dcb91f8e3532d0e3dc66c88e52ac47eec14eefc5ea54e1f0ad0894e7ed,c3e5d037c5d63f772b00b505eed131fa635a1732eacea6aa4b37dc8fa8207b77,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0063,29,33,768,true,exact,auto_checked,,360881a14e636afa50407e5368204b8f43a396a9ad6caf15eeaeec283a1b3cde,b9a3887ebc4083f41eb989691995164b78d2a3bae076e114d6bab627886ff913,56495ec3bacb25035f17a52d7c2182b30b5fb4befbe15dcf9105a2642ad6b43e,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0064,20,24,768,true,exact,needs_review,asr_disagreement;low_ctc_probability,402c8ceaf12b7c313f6d8fba061b0aaece0a600548a2e6b9b081e3b09316a027,a084cdf552bb692d0b81cec2a9a8934d59e731294245b9ca6945b2057d85ad66,ac129ff8bd5c4ebcde0aadf65d45b585b0040fb440665b2b6c083cfafd0f1886,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0065,12,18,768,true,exact,needs_review,asr_disagreement,47c72c41035534d404ce435dd2209b80fbf5e7c6b3a46564b421ab9a89933d2c,3cc4662c85af842f5e682e4ef26cf9eb3bebd97881a87999db6c236539a3d598,b0abaf3a6bcb8dcde983586183c1410081b2c6e3dad6d85656666a5bef526534,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0066,43,54,768,true,exact,auto_checked,,c687cdc95115a34d806b83d34a16bbc02afdb2f5fd5c7e27c167789df62051ba,750ec610bc9cc014a16efdc1e076aa87e28e6eec9fa8ef31a42f0e43fc8a6847,bbec4028906b0cbe96df9621697f088e7caebeaa1e371755f5498686e2c55a15,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
sample_0067,18,23,768,true,exact,auto_checked,,c1adf93f67a85123040efcdd672d3516b74c90779f20712da99067f6bff425e2,d23b34daf050ce5e431d5074a5f31feb5e6d12db47361c02652779d42f437013,263009fdaba49a93672bda92174fbebfe8972bc7aa2ed2b58a86abb765e15328,e21dbc32d3b676449421e646a73878eb0a535c3dc8203d0368e26fb20a711c7f,ok,
