source_excel_row,video_id,clip_id,video_relpath,text,label,annotation,qc_status,qc_note,stage_relpath,source_sha256,staged_sha256
37,-iRBcNs9oI8,7,-iRBcNs9oI8/7.mp4,"Well, for starters, let's look at the word ""power""",0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0036.mp4,cc7b1c7a06ec41d72007b5c42fb8036f30b66d5cf76e3f093160c22fc5e38081,cc7b1c7a06ec41d72007b5c42fb8036f30b66d5cf76e3f093160c22fc5e38081
38,-iRBcNs9oI8,6,-iRBcNs9oI8/6.mp4,What is a power pose,0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0037.mp4,030b0b8d8d4ae47799432ab71b66fcc881f077c5b0feef892c1f146dc0a592e3,030b0b8d8d4ae47799432ab71b66fcc881f077c5b0feef892c1f146dc0a592e3
39,-iRBcNs9oI8,9,-iRBcNs9oI8/9.mp4,Power is similar to strength,1.3333333730697632,Positive,not_reviewed,,mosei-stage-v1.0/sample_0038.mp4,352bdcc73d3622d6abac1b09f2039b211d15b9bf7acee66f0b07783c9b7a4c74,352bdcc73d3622d6abac1b09f2039b211d15b9bf7acee66f0b07783c9b7a4c74
40,-iRBcNs9oI8,8,-iRBcNs9oI8/8.mp4,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong",1.0,Positive,not_reviewed,,mosei-stage-v1.0/sample_0039.mp4,72a49e3da2862addcde033bd2fbae957d086533664ca4dcbccd3a851bcd50412,72a49e3da2862addcde033bd2fbae957d086533664ca4dcbccd3a851bcd50412
41,-lzEya4AM_4,5,-lzEya4AM_4/5.mp4,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step.",-0.6666666865348816,Negative,not_reviewed,,mosei-stage-v1.0/sample_0040.mp4,3b74de8d0e66fd754594f05985e5af3480adcc03555f79225d3b727cb4bed043,3b74de8d0e66fd754594f05985e5af3480adcc03555f79225d3b727cb4bed043
42,-lzEya4AM_4,6,-lzEya4AM_4/6.mp4,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up.",-0.3333333432674408,Negative,not_reviewed,,mosei-stage-v1.0/sample_0041.mp4,ff5da5afb551001d58100ed2471caea51c741046d5396957efbf40082307ca18,ff5da5afb551001d58100ed2471caea51c741046d5396957efbf40082307ca18
43,-mJ2ud6oKI8,1,-mJ2ud6oKI8/1.mp4,There are a dozen or more hands on techniques that we can do,0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0042.mp4,c8e3acb4ca08679796c4c8cdfcd8c2b3cffc0465015efaffa1eccdb55ff4f45b,c8e3acb4ca08679796c4c8cdfcd8c2b3cffc0465015efaffa1eccdb55ff4f45b
44,-mJ2ud6oKI8,2,-mJ2ud6oKI8/2.mp4,So physical therapists and chiropractors will do joint manipulations and mobilizations,0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0043.mp4,c41790f8b75f886bd1f5d6d72cbab1985306d0b715e5ae47203f3d0c8a3e7b28,c41790f8b75f886bd1f5d6d72cbab1985306d0b715e5ae47203f3d0c8a3e7b28
45,-mJ2ud6oKI8,6,-mJ2ud6oKI8/6.mp4,They are all very safe,0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0044.mp4,134a3a4ebbc423760133b0da0e90cfe84d75ea85df3968000afd84153c5d828d,134a3a4ebbc423760133b0da0e90cfe84d75ea85df3968000afd84153c5d828d
46,-mJ2ud6oKI8,9,-mJ2ud6oKI8/9.mp4,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time",0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0045.mp4,df3442f3ed8f894b507923e87e426ae9636790a4a502d00c350a215270cc3e47,df3442f3ed8f894b507923e87e426ae9636790a4a502d00c350a215270cc3e47
47,-mJ2ud6oKI8,8,-mJ2ud6oKI8/8.mp4,Sometimes we have to stretch that joint that is already irritated,-0.3333333432674408,Negative,not_reviewed,,mosei-stage-v1.0/sample_0046.mp4,6af6614c9838417a48c4817f4dd5bf1e6669eb5f78f983e9a68adc113fcdc7cc,6af6614c9838417a48c4817f4dd5bf1e6669eb5f78f983e9a68adc113fcdc7cc
48,-mqbVkbCndg,0,-mqbVkbCndg/0.mp4,"How, at a particular moment in time—our moment in time—are they limited",0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0047.mp4,cdeba953bba30907814acf72f3e35582dec263eaa25bdd922dad7fafe02e4dda,cdeba953bba30907814acf72f3e35582dec263eaa25bdd922dad7fafe02e4dda
49,-t217m2on-s,2,-t217m2on-s/2.mp4,"But a good thing to do is yawning, chewing gum is effective.",0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0048.mp4,6713a983112173204502dc5adbb886bc6c38554b4627698611931420c47663a8,6713a983112173204502dc5adbb886bc6c38554b4627698611931420c47663a8
50,-t217m2on-s,7,-t217m2on-s/7.mp4,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with.",-0.6666666865348816,Negative,not_reviewed,,mosei-stage-v1.0/sample_0049.mp4,41c76b8a733ecb780d56348f55d00f0ba0c07f44f46e93044e62d876710180b7,41c76b8a733ecb780d56348f55d00f0ba0c07f44f46e93044e62d876710180b7
51,-tANM6ETl_M,3,-tANM6ETl_M/3.mp4,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it.",0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0050.mp4,6d3af064c060dad3816a9e1dfa00101faebd8b7da7d8ceea85b0bc0fca70abd6,6d3af064c060dad3816a9e1dfa00101faebd8b7da7d8ceea85b0bc0fca70abd6
52,-tPCytz4rww,11,-tPCytz4rww/11.mp4,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet.",0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0051.mp4,6dc09d02467baaef67594ff32cffb01f8ed1565cda4c5abd161b8261a51e2e5d,6dc09d02467baaef67594ff32cffb01f8ed1565cda4c5abd161b8261a51e2e5d
53,-tPCytz4rww,10,-tPCytz4rww/10.mp4,Say twenty percent so if you've got a thousand square foot condo.,0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0052.mp4,758183192cbd5f0f20823d26ece3ddee40dec0aadec35247b2495510a53f52f8,758183192cbd5f0f20823d26ece3ddee40dec0aadec35247b2495510a53f52f8
54,-tPCytz4rww,12,-tPCytz4rww/12.mp4,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities.",0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0053.mp4,e3c7f9cd67ad2d20fef997696dc278361f97f027db58762e22104e5720d509d5,e3c7f9cd67ad2d20fef997696dc278361f97f027db58762e22104e5720d509d5
55,-tPCytz4rww,16,-tPCytz4rww/16.mp4,So make sure to get a through or to do a through cleaning of the property.,0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0054.mp4,8b3f82f9628792eebaf8c227becc2ebeba59bb8abb668bcca86e07fb1a992a93,8b3f82f9628792eebaf8c227becc2ebeba59bb8abb668bcca86e07fb1a992a93
56,-tPCytz4rww,18,-tPCytz4rww/18.mp4,Do so and as well you'll also want to remove any clutter from that you've accumulated.,0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0055.mp4,eece70451e9c37a4b5f375bf646f66e09113fe3467f35bf1720cc14d986c1776,eece70451e9c37a4b5f375bf646f66e09113fe3467f35bf1720cc14d986c1776
57,-vxjVxOeScU,4,-vxjVxOeScU/4.mp4,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long.",1.0,Positive,not_reviewed,,mosei-stage-v1.0/sample_0056.mp4,00282df9a314394f19d616d561bd1916d1d30dca4c814dfb43630ca164f4c719,00282df9a314394f19d616d561bd1916d1d30dca4c814dfb43630ca164f4c719
58,-wMB_hJL-3o,7,-wMB_hJL-3o/7.mp4,So if you have a loved one who is depressed those are some of the things that you should think about doing.,0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0057.mp4,04a73d73fd150b07edab8e652fd14c9cb4a0f6e017ea97b17e8146e377b9fae7,04a73d73fd150b07edab8e652fd14c9cb4a0f6e017ea97b17e8146e377b9fae7
59,-wny0OAz3g8,1,-wny0OAz3g8/1.mp4,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work",0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0058.mp4,c5535859f129ce04da5f5b5104d02d4168057b9d947a5349d423278ad4f3d8e8,c5535859f129ce04da5f5b5104d02d4168057b9d947a5349d423278ad4f3d8e8
60,-wny0OAz3g8,0,-wny0OAz3g8/0.mp4,trade labor unions didn’t allow Black workers to join,0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0059.mp4,1cc21b4432e2f4b592284ee40558a18acc7d208019117aebdb2f6a1b67ea198d,1cc21b4432e2f4b592284ee40558a18acc7d208019117aebdb2f6a1b67ea198d
61,-wny0OAz3g8,3,-wny0OAz3g8/3.mp4,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union,-1.3333333730697632,Negative,not_reviewed,,mosei-stage-v1.0/sample_0060.mp4,ea917c506bc9fa39460f2b722f7c416f646312bb17cd74baa618905b54837bce,ea917c506bc9fa39460f2b722f7c416f646312bb17cd74baa618905b54837bce
62,-wny0OAz3g8,2,-wny0OAz3g8/2.mp4,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior",-0.3333333432674408,Negative,not_reviewed,,mosei-stage-v1.0/sample_0061.mp4,1825fb37db2e914fb616cd80aebd613afd873eecb7edd4d0b53158bfda0e522a,1825fb37db2e914fb616cd80aebd613afd873eecb7edd4d0b53158bfda0e522a
63,-wny0OAz3g8,5,-wny0OAz3g8/5.mp4,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant",1.0,Positive,not_reviewed,,mosei-stage-v1.0/sample_0062.mp4,6c6a8a4cba654b25190ab1793bfae81c3d2159ecd6cbc02d3fcbd598543acce0,6c6a8a4cba654b25190ab1793bfae81c3d2159ecd6cbc02d3fcbd598543acce0
64,-wny0OAz3g8,7,-wny0OAz3g8/7.mp4,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent,0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0063.mp4,cbf9cac1048ce191aef781d0c4563eb97f9f3ddd52eb1f9551fa78d31d70e7cd,cbf9cac1048ce191aef781d0c4563eb97f9f3ddd52eb1f9551fa78d31d70e7cd
65,-wny0OAz3g8,9,-wny0OAz3g8/9.mp4,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more",0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0064.mp4,b76f70fe783ee76bf1b637137226c98e67d13a6b15ec725894175b36cd76a136,b76f70fe783ee76bf1b637137226c98e67d13a6b15ec725894175b36cd76a136
66,-571d8cVauQ,0,-571d8cVauQ/0.mp4,"This is Rhett Reiger, White Caspian Studios on behalf of Expert Village.",0.0,Neutral,not_reviewed,,mosei-stage-v1.0/sample_0065.mp4,defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088,defc62e1530d9b0cd27f2acfe042b71dd84d7e8c85f1df261f04912091976088
67,-571d8cVauQ,5,-571d8cVauQ/5.mp4,"So very important to go out to the locations, walk around, talk with the owners if you can, tell them what you're doing, build a little excitement, put a little glitz on there and let everybody knows this is a very valuable spot.",0.3333333432674408,Positive,not_reviewed,,mosei-stage-v1.0/sample_0066.mp4,e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e,e304c03fac1f477823fe0926c4fb421b9c4e4091f85718b729afe856c24a7d3e
68,-I_e4mIh0yE,1,-I_e4mIh0yE/1.mp4,In the United States we don't punish failure to the degree to which failure is punished in Europe.,-0.6666666865348816,Negative,not_reviewed,,mosei-stage-v1.0/sample_0067.mp4,8453a966d4bd1f0179eb86a35cd34c0864a3a3bc2fa86f37783060cc0d14f5df,8453a966d4bd1f0179eb86a35cd34c0864a3a3bc2fa86f37783060cc0d14f5df
69,-I_e4mIh0yE,3,-I_e4mIh0yE/3.mp4,"It's perceived that you have actually learned something, over the course of your carreer, and that you won't make the mistake twice.",0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0068.mp4,a015f02ae51d74c42ad27e2a0831263a303f0658ac8d984819e27ad61342b23e,a015f02ae51d74c42ad27e2a0831263a303f0658ac8d984819e27ad61342b23e
70,-UacrmKiTn4,10,-UacrmKiTn4/10.mp4,"Because, if they are not in any way held accountable for reading the material they won't do it.",-0.6666666865348816,Negative,not_reviewed,,mosei-stage-v1.0/sample_0069.mp4,00312e0602dbeac970de5d7dd0e8a970e514fe45d7fe6625b4f454b299e36360,00312e0602dbeac970de5d7dd0e8a970e514fe45d7fe6625b4f454b299e36360
71,-UacrmKiTn4,4,-UacrmKiTn4/4.mp4,Just given to their own devices they are not going to read the textbook.,-1.3333333730697632,Negative,not_reviewed,,mosei-stage-v1.0/sample_0070.mp4,a7f2ab0d6ee2e2a2d5cd4239f03e6cac67c618ddb744891323df3ff87e29af84,a7f2ab0d6ee2e2a2d5cd4239f03e6cac67c618ddb744891323df3ff87e29af84
72,-hnBHBN8p5A,7,-hnBHBN8p5A/7.mp4,"Picture this, before we actually start hacking, we’re in a room formal setting",0.6666666865348816,Positive,not_reviewed,,mosei-stage-v1.0/sample_0071.mp4,0ec6fb76226315d3fafbb483e3500e60cc8a6729617b10e4b4b76163595080fb,0ec6fb76226315d3fafbb483e3500e60cc8a6729617b10e4b4b76163595080fb
