sample	video_id	clip_id	source_excel_row	video_relpath	source_label	source_annotation	transcript	source_qc_status	container_duration_s	audio_duration_s	video_frames	openface_valid_frames	source_words	timed_words	untimed_words	text_valid_words	audio_valid_words	vision_valid_words	all_modalities_valid_words	audio_min_coverage	vision_min_coverage	vision_partial_words	text_shape	audio_shape	vision_shape	alignment_review_flags	merge_review_flags	needs_review	review_priority	human_review_status	source_video_sha256	staged_video_sha256	audio_sha256	audio_feature_sha256	text_feature_sha256	merged_feature_sha256	stage_relpath	merged_relpath
sample_0011	-NFrJFQijFE	2	12	-NFrJFQijFE/2.mp4	0.0	Neutral	So we coordinate with all the proper technical fields to get ready for the instrument to arrive here	not_reviewed	6.856000	6.698000	169	0	18	18	0	18	18	0	0	1.000000	0.000000	0	18x768	18x25	18x49	asr_disagreement;low_ctc_probability	vision_missing_words;no_valid_visual_frames	true	P1	pending	a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1	a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1	90fac444c4595bbdca6154fdd16d0bd1a5c4b4fc1c9098e79aa7c037a4da2a28	4561c5bac78a26c91e501521cc5600eca5ab504aaf8678a8c21e1f30e6fee9a4	47eba9e732aee2de506197639cf0ef8759d4164c8ef99ca05bc3c7b1e01525f5	1a21706c9d76e6917781fd2d7fcc101c9b77c0ad506b8a58a0a6e73f0f007327	mosei-stage-v1.0/sample_0011.mp4	mosei-multimodal-aligned-v1.0/sample_0011.npz
sample_0012	-THoVjtIkeU	12	13	-THoVjtIkeU/12.mp4	2.0	Positive	What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.	not_reviewed	14.896029	14.805000	445	445	39	39	0	39	39	39	39	1.000000	1.000000	0	39x768	39x25	39x49			false		not_requested	e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4	e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4	9198354474f9aa2991e18b6e7325577af6b82ae382cd09082d02ece007f230b8	06aa403cc00aa9091d796928820e15d0fc40e5a03f924f8d99ae8369dfbf52cd	eb56d3fdec5e39808601590988cceb6c7e9918757e19e84b3b38804e0d71e0cf	8b73522e0b141f1b7c12f5fb9a4bbe1556df7abc407c4d0b30b597082dcde75c	mosei-stage-v1.0/sample_0012.mp4	mosei-multimodal-aligned-v1.0/sample_0012.npz
sample_0013	-THoVjtIkeU	2	14	-THoVjtIkeU/2.mp4	1.3333333730697632	Positive	I think social justice is extremely important for young people.	not_reviewed	4.291992	4.230000	128	128	10	10	0	10	10	10	10	1.000000	1.000000	0	10x768	10x25	10x49			false		not_requested	35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b	35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b	fb928edd5975bf7d512ee261efcbd6282e076f7e3d990af0dce89d020c96a197	9c8c9094a8d391c0a38384cd0a35f3912ca0a7a93fb44c286e6667e7c7e4a99c	1538421af0306fcafcfcfe0152d2cd8b47ba42276b389d2f571582c2c8256711	75b25fb8b93904e8c17642d8b611c513444b3455fbada2db11f362148fa31826	mosei-stage-v1.0/sample_0013.mp4	mosei-multimodal-aligned-v1.0/sample_0013.npz
sample_0014	-THoVjtIkeU	6	15	-THoVjtIkeU/6.mp4	2.6666667461395264	Positive	You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.	not_reviewed	8.097005	7.982875	241	240	30	30	0	30	30	30	30	1.000000	1.000000	0	30x768	30x25	30x49	low_ctc_probability		true	P2	pending	efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64	efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64	cc962225ef6beb8b7db86ca3373d6f1211e3a8d461401ebbf2921090395f5bfe	18b2b1cf51c818d80975ee4b6ab1030ec6c33fb627cb79f44e0888b776eeb202	8845f9204870ae92cdb1dc5163b796971029ae4e38c83b3f6cd5c8cb1d046e7f	f6ea65019494fdeb3891c2c0e34555b2c45c934b2bac391894159126eb839489	mosei-stage-v1.0/sample_0014.mp4	mosei-multimodal-aligned-v1.0/sample_0014.npz
sample_0015	-UuX1xuaiiE	1	16	-UuX1xuaiiE/1.mp4	1.6666666269302368	Positive	^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here	not_reviewed	10.350000	10.267000	309	309	27	27	0	27	27	27	27	1.000000	1.000000	0	27x768	27x25	27x49			false		not_requested	d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c	d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c	44951f6e9014e7a142b8c39ecd67c934a643358d604954bf18bae0cc3b3a0cad	712dbe5d90116d5f34ca53614d2e25758f876bb472fe9ad624752ed0990c05ab	fcdeb177ecf63b64d6ab61dfee2b7c8dfb277a9bcfe7bca2be75e2a649ae9811	3ba587d2a85e4a42c8333f478c5772764ccc7a9e4c4bb2ae2315c74689cf232b	mosei-stage-v1.0/sample_0015.mp4	mosei-multimodal-aligned-v1.0/sample_0015.npz
sample_0016	-UuX1xuaiiE	0	17	-UuX1xuaiiE/0.mp4	2.6666667461395264	Positive	^it's amazing to see their enthusiasm and their passion	not_reviewed	3.633333	3.575875	109	109	9	9	0	9	9	9	9	1.000000	1.000000	0	9x768	9x25	9x49	low_ctc_probability		true	P2	pending	f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8	f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8	0dfd58255604475549f7fc9707fbfb37099b2988044811e4b5fd1f75ac714baa	49e80365ae51f32c7a3729c47f5ab5c0dc53582f3a675026799f8bfff2755203	cb14e0acebeb91af21bade1d095966d4d391acc337b9eda1ebe23bbbe4245f46	96626b622a068a29538b90d6667ea77ac6462a6633a4b232f9d8bb3088b5b25f	mosei-stage-v1.0/sample_0016.mp4	mosei-multimodal-aligned-v1.0/sample_0016.npz
sample_0017	-UuX1xuaiiE	3	18	-UuX1xuaiiE/3.mp4	0.3333333432674408	Positive	My goal is to become a human rights lawyer	not_reviewed	4.130013	4.038000	123	123	9	9	0	9	9	9	9	1.000000	1.000000	0	9x768	9x25	9x49	asr_disagreement;low_ctc_probability		true	P2	pending	eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa	eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa	04ed369d22bc7240b9b6c579fafd6450ab6a8551e5100efe96e55b628f22674f	38599bcd72c2f8e3642196498a6b9e8f2ffe9c739df89bca692dcf64645bd84a	8911a85e7ebc2cae9359bf2de87bee0e007300321a470ffc329fd0327c6b8183	32d31c40aa50f45836db00e2377b673d4e73ca66d6b97f0f6098e5aeaa2115aa	mosei-stage-v1.0/sample_0017.mp4	mosei-multimodal-aligned-v1.0/sample_0017.npz
sample_0018	-UuX1xuaiiE	6	19	-UuX1xuaiiE/6.mp4	-0.3333333432674408	Negative	I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues	not_reviewed	8.113997	7.943812	240	240	22	22	0	22	22	22	22	1.000000	1.000000	0	22x768	22x25	22x49	asr_disagreement;low_ctc_probability		true	P2	pending	f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532	f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532	e7d459bad9b6149cca05b461855ed05983603cda1db47c021b36caba32f2460a	d088a3f0e4c2035f3b269c88946f0abf26cffea715fd9808717aa36a74ebf12e	e68200f69ddee17ff4e319501d0385799dd684422bebf97d52c6224352df0a69	fddcd7adbf0eb7d0e6bb241eed4dcfa935a95e7aeb6b65fafb485bf194127b67	mosei-stage-v1.0/sample_0018.mp4	mosei-multimodal-aligned-v1.0/sample_0018.npz
sample_0019	-a55Q6RWvTA	3	20	-a55Q6RWvTA/3.mp4	0.6666666865348816	Positive	"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se."	not_reviewed	22.153971	22.083313	664	664	65	65	0	65	65	65	65	1.000000	1.000000	0	65x768	65x25	65x49	low_ctc_probability		true	P2	pending	15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946	15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946	4eea5b2fb28c306b86985e687f80ac4bd783a869cee80eca19ace2f2239c9f9b	f0e0398300ecbbdc0b5071041850093156f34fbef5a3f668a3b950c442992c9f	e3efc561dae9b735f03e48f6cd5136442118e472ae3808deef8c4d08a5a0b64f	40b53aedf07515f0c006808d8f607ef41fd4d39adfe54d840f497bda9984fee0	mosei-stage-v1.0/sample_0019.mp4	mosei-multimodal-aligned-v1.0/sample_0019.npz
sample_0020	-aNfi7CP8vM	7	21	-aNfi7CP8vM/7.mp4	0.0	Neutral	Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.	not_reviewed	8.694987	8.537688	257	257	18	18	0	18	18	18	18	1.000000	1.000000	0	18x768	18x25	18x49	asr_disagreement		true	P2	pending	0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1	0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1	c53608697b475ad4202771cb083beaccfbc8be90529e97d81a83c26c2c62b3e3	ac1b11e28fc8bd395dd9f66c8ebf789873516d8bc672a62d7a5069bccaed503d	05ef96ce4291d1b68351bdaa53d4e1d0db2b17a21c77448dcbdcd6976aa850e5	45c69c8aee2bc31d06fc5d19e0867d1ef19d78299f966e47e5673af9001edd86	mosei-stage-v1.0/sample_0020.mp4	mosei-multimodal-aligned-v1.0/sample_0020.npz
sample_0021	-aqamKhZ1Ec	0	22	-aqamKhZ1Ec/0.mp4	-2.0	Negative	In 2008, there were very serious tribal warfare in Kenya following a disputed election.	not_reviewed	10.966667	10.890000	329	329	14	14	0	14	14	14	14	1.000000	1.000000	0	14x768	14x25	14x49	asr_disagreement;long_word_span;low_ctc_probability;numeric_reading_review		true	P2	pending	6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548	6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548	3e1a4e4e6912384188fcc28d2f6cc38341910485d6e5144e51fb269a82e47aad	ea97c9dd8a285e66df379f87f902a39dc9678b8a1e04c1aa226dfeb843eb82fb	a3f7ba245d89d3c99647b2608b8a573f19cf84270e5be3ec29f007cc6e759a1b	f679de5822020bd1a0ea9586b2f2b4b1dc63f289fed06b8ae6029d7ce807fe5e	mosei-stage-v1.0/sample_0021.mp4	mosei-multimodal-aligned-v1.0/sample_0021.npz
sample_0022	-dxfTGcXJoc	1	23	-dxfTGcXJoc/1.mp4	1.6666666269302368	Positive	For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.	not_reviewed	16.161003	16.018125	482	482	36	36	0	36	36	36	36	1.000000	1.000000	0	36x768	36x25	36x49	numeric_reading_review		true	P2	pending	b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595	b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595	56035419f16a506c9ef0edd2c5f8c3edee35eb05a5991d9da5304c375121a407	a91ce9d1c4a7338ac4d563bd16201eb3d698fac335b92f4123484ee0dd78588c	69faa9df15c5734939c30c3df8a3ab3381f4dfeb27347b6c04670873227c2d53	4e170441c612e7778f18310aed7b449c457c62d27cece8fbacb6649d6c02597c	mosei-stage-v1.0/sample_0022.mp4	mosei-multimodal-aligned-v1.0/sample_0022.npz
sample_0023	-dxfTGcXJoc	0	24	-dxfTGcXJoc/0.mp4	1.0	Positive	This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.	not_reviewed	20.500000	20.410000	615	471	41	40	1	41	40	32	32	1.000000	0.000000	1	41x768	41x25	41x49	ellipsis_title_review;numeric_reading_review	vision_missing_words;vision_partial_coverage	true	P2	pending	04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55	04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55	ddbae9e8b51aac513c126e48c1f7b7f4d09759165712349a5ede1e871a3d113e	c70ce6bd24d283f2e8997fe8db8b593d29d9554c3d9d43d3535426c43079ca22	d5bb7bc8d30e5e88cbf86fd575abba0423d7d43590eff922c030dad7eaaaa513	fa347862d480a38fed0c3f98da20296f224cc7456974858f48181479b055a238	mosei-stage-v1.0/sample_0023.mp4	mosei-multimodal-aligned-v1.0/sample_0023.npz
sample_0024	-dxfTGcXJoc	2	25	-dxfTGcXJoc/2.mp4	0.6666666865348816	Positive	An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.	not_reviewed	16.697982	16.633000	500	500	34	34	0	34	34	34	34	1.000000	1.000000	0	34x768	34x25	34x49	numeric_reading_review		true	P2	pending	46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7	46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7	aa064add4395e29321f3d89483a962c871c6d1f9e5805c731bc973ebed9ccfd6	9cec022c6e89f43389a8c50fea652e4c70253b25a67a42ca99cb320c1958494e	f350b4a2d685596cd51ee0680134f17215a2c70234473ffaa3ef5acc7689a98b	1692c5bd9d646b29b351beb649e287ac01c3bf5e4ef743431fb3ce19dbfac5ed	mosei-stage-v1.0/sample_0024.mp4	mosei-multimodal-aligned-v1.0/sample_0024.npz
sample_0025	-dxfTGcXJoc	6	26	-dxfTGcXJoc/6.mp4	0.6666666865348816	Positive	Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.	not_reviewed	12.735026	12.628000	381	381	27	27	0	27	27	27	27	1.000000	1.000000	0	27x768	27x25	27x49			false		not_requested	55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513	55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513	6a35a4c8cc346dbd5ec4651f27605d1072e36c29af8ce8dd3d0f7f884f3d69cc	5f0d933af00078f48ca7564f2bcca1985143ba2aaa1135b8bf696fb5e6b2517d	fe4fefbae9a9f05f64d3864a083341da24709b0f580e677c63b53ac7d3feebb6	0d56c31310705a9975489f016c82e1b0927c428e5a9a3318451610c71ffd54de	mosei-stage-v1.0/sample_0025.mp4	mosei-multimodal-aligned-v1.0/sample_0025.npz
sample_0026	-egA8-b7-3M	26	27	-egA8-b7-3M/26.mp4	1.6666666269302368	Positive	We're updating it all the time and looking forward to your comments on our videos.	not_reviewed	6.030990	5.920000	179	179	15	15	0	15	15	15	15	1.000000	1.000000	0	15x768	15x25	15x49			false		not_requested	11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685	11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685	3839b31bb93b9881ee60618de8c6e96c2a4c2d72db82c620be5245a62b9a670a	15f04f99bd85614174e0ddcda75d425d7e9fd833c3154c1714249670007a6afc	4e1983c3ea2b8a78f5e500f4952117453a8c01e8f092e602b3ffd68379e8a651	fa92e6970aa624c894b575207cbb466e7645cd69a23cd182802b7737d2a7d8c5	mosei-stage-v1.0/sample_0026.mp4	mosei-multimodal-aligned-v1.0/sample_0026.npz
sample_0027	-egA8-b7-3M	17	28	-egA8-b7-3M/17.mp4	0.3333333432674408	Positive	As you have more experience, you have more times exhibiting, you get to know more people.	not_reviewed	7.271029	7.095000	215	215	16	16	0	16	16	16	16	1.000000	1.000000	0	16x768	16x25	16x49			false		not_requested	f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f	f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f	f640713ddd2454390f8264f007a88b5c873f180ddba3607de2425bdadd759bad	3e8d51d7d49c052f318a2429a844b73647c48d7ea1d1a3a3fe80cc61837270d2	f76daf898fae651b94987a482027a5e8ad715e127992353350246468ab01c1d1	7706ee682490ad519dd5c38195f84c0f19c71531a16fa5fd093dc542f020650b	mosei-stage-v1.0/sample_0027.mp4	mosei-multimodal-aligned-v1.0/sample_0027.npz
sample_0028	-egA8-b7-3M	18	29	-egA8-b7-3M/18.mp4	1.0	Positive	It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.	not_reviewed	8.386003	8.265688	250	250	22	22	0	22	22	22	22	1.000000	1.000000	0	22x768	22x25	22x49			false		not_requested	fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90	fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90	5bcc3a7761dfe69618cd41a30de92665d746fa01ea8ec51d6ec7ecdc09e1fe29	eab01a2a9e584ab499cc59b8b493d5b82dddbaae8aa49b75bc4e41317b378107	67fcc6af4a5c9eef3ef865842073b7d421e13004a9850d8dee994280162a31f8	1009209d359386f52877f7256fb102d810163fc74468be3ee68a76338e4a81ba	mosei-stage-v1.0/sample_0028.mp4	mosei-multimodal-aligned-v1.0/sample_0028.npz
