sample	video_id	clip_id	review_priority	review_reason	suggested_action	human_review_status	source_words	timed_words	vision_valid_words	all_modalities_valid_words	source_qc_status	alignment_review_flags	merge_review_flags	video_relpath	merged_relpath
sample_0008	-HwX2H8Z4hY	6	P2	vision_missing_words	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	7	7	5	5	not_reviewed		vision_missing_words	-HwX2H8Z4hY/6.mp4	mosei-multimodal-aligned-v1.0/sample_0008.npz
sample_0009	-HwX2H8Z4hY	9	P2	asr_disagreement;long_word_span;low_ctc_probability;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	22	22	22	22	not_reviewed	asr_disagreement;long_word_span;low_ctc_probability	vision_partial_coverage	-HwX2H8Z4hY/9.mp4	mosei-multimodal-aligned-v1.0/sample_0009.npz
sample_0014	-THoVjtIkeU	6	P2	low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	30	30	30	30	not_reviewed	low_ctc_probability		-THoVjtIkeU/6.mp4	mosei-multimodal-aligned-v1.0/sample_0014.npz
sample_0016	-UuX1xuaiiE	0	P2	low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	9	9	9	9	not_reviewed	low_ctc_probability		-UuX1xuaiiE/0.mp4	mosei-multimodal-aligned-v1.0/sample_0016.npz
sample_0017	-UuX1xuaiiE	3	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	9	9	9	9	not_reviewed	asr_disagreement;low_ctc_probability		-UuX1xuaiiE/3.mp4	mosei-multimodal-aligned-v1.0/sample_0017.npz
sample_0018	-UuX1xuaiiE	6	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	22	22	22	22	not_reviewed	asr_disagreement;low_ctc_probability		-UuX1xuaiiE/6.mp4	mosei-multimodal-aligned-v1.0/sample_0018.npz
sample_0019	-a55Q6RWvTA	3	P2	low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	65	65	65	65	not_reviewed	low_ctc_probability		-a55Q6RWvTA/3.mp4	mosei-multimodal-aligned-v1.0/sample_0019.npz
sample_0020	-aNfi7CP8vM	7	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	18	18	18	18	not_reviewed	asr_disagreement		-aNfi7CP8vM/7.mp4	mosei-multimodal-aligned-v1.0/sample_0020.npz
sample_0021	-aqamKhZ1Ec	0	P2	asr_disagreement;long_word_span;low_ctc_probability;numeric_reading_review	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	14	14	14	14	not_reviewed	asr_disagreement;long_word_span;low_ctc_probability;numeric_reading_review		-aqamKhZ1Ec/0.mp4	mosei-multimodal-aligned-v1.0/sample_0021.npz
sample_0022	-dxfTGcXJoc	1	P2	numeric_reading_review	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	36	36	36	36	not_reviewed	numeric_reading_review		-dxfTGcXJoc/1.mp4	mosei-multimodal-aligned-v1.0/sample_0022.npz
sample_0023	-dxfTGcXJoc	0	P2	ellipsis_title_review;numeric_reading_review;vision_missing_words;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	41	40	32	32	not_reviewed	ellipsis_title_review;numeric_reading_review	vision_missing_words;vision_partial_coverage	-dxfTGcXJoc/0.mp4	mosei-multimodal-aligned-v1.0/sample_0023.npz
sample_0024	-dxfTGcXJoc	2	P2	numeric_reading_review	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	34	34	34	34	not_reviewed	numeric_reading_review		-dxfTGcXJoc/2.mp4	mosei-multimodal-aligned-v1.0/sample_0024.npz
sample_0031	-egA8-b7-3M	1	P2	numeric_reading_review	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	20	20	20	20	not_reviewed	numeric_reading_review		-egA8-b7-3M/1.mp4	mosei-multimodal-aligned-v1.0/sample_0031.npz
sample_0035	-iRBcNs9oI8	3	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	8	8	8	8	not_reviewed	asr_disagreement;low_ctc_probability		-iRBcNs9oI8/3.mp4	mosei-multimodal-aligned-v1.0/sample_0035.npz
sample_0036	-iRBcNs9oI8	7	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	9	9	9	9	not_reviewed	asr_disagreement;low_ctc_probability		-iRBcNs9oI8/7.mp4	mosei-multimodal-aligned-v1.0/sample_0036.npz
sample_0037	-iRBcNs9oI8	6	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	5	5	5	5	not_reviewed	asr_disagreement;low_ctc_probability		-iRBcNs9oI8/6.mp4	mosei-multimodal-aligned-v1.0/sample_0037.npz
sample_0038	-iRBcNs9oI8	9	P2	asr_disagreement;low_ctc_probability;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	5	5	5	5	not_reviewed	asr_disagreement;low_ctc_probability	vision_partial_coverage	-iRBcNs9oI8/9.mp4	mosei-multimodal-aligned-v1.0/sample_0038.npz
sample_0039	-iRBcNs9oI8	8	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	21	21	21	21	not_reviewed	asr_disagreement;low_ctc_probability		-iRBcNs9oI8/8.mp4	mosei-multimodal-aligned-v1.0/sample_0039.npz
sample_0040	-lzEya4AM_4	5	P2	low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	19	19	19	19	not_reviewed	low_ctc_probability		-lzEya4AM_4/5.mp4	mosei-multimodal-aligned-v1.0/sample_0040.npz
sample_0041	-lzEya4AM_4	6	P2	low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	43	43	43	43	not_reviewed	low_ctc_probability		-lzEya4AM_4/6.mp4	mosei-multimodal-aligned-v1.0/sample_0041.npz
sample_0043	-mJ2ud6oKI8	2	P2	asr_disagreement;long_word_span;low_ctc_probability;vision_missing_words;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	11	11	7	7	not_reviewed	asr_disagreement;long_word_span;low_ctc_probability	vision_missing_words;vision_partial_coverage	-mJ2ud6oKI8/2.mp4	mosei-multimodal-aligned-v1.0/sample_0043.npz
sample_0044	-mJ2ud6oKI8	6	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	5	5	5	5	not_reviewed	asr_disagreement		-mJ2ud6oKI8/6.mp4	mosei-multimodal-aligned-v1.0/sample_0044.npz
sample_0045	-mJ2ud6oKI8	9	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	22	22	22	22	not_reviewed	asr_disagreement;low_ctc_probability		-mJ2ud6oKI8/9.mp4	mosei-multimodal-aligned-v1.0/sample_0045.npz
sample_0046	-mJ2ud6oKI8	8	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	11	11	11	11	not_reviewed	asr_disagreement;low_ctc_probability		-mJ2ud6oKI8/8.mp4	mosei-multimodal-aligned-v1.0/sample_0046.npz
sample_0050	-tANM6ETl_M	3	P2	low_ctc_probability;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	22	22	22	22	not_reviewed	low_ctc_probability	vision_partial_coverage	-tANM6ETl_M/3.mp4	mosei-multimodal-aligned-v1.0/sample_0050.npz
sample_0052	-tPCytz4rww	10	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	12	12	12	12	not_reviewed	asr_disagreement		-tPCytz4rww/10.mp4	mosei-multimodal-aligned-v1.0/sample_0052.npz
sample_0053	-tPCytz4rww	12	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	26	26	26	26	not_reviewed	asr_disagreement;low_ctc_probability		-tPCytz4rww/12.mp4	mosei-multimodal-aligned-v1.0/sample_0053.npz
sample_0054	-tPCytz4rww	16	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	16	16	16	16	not_reviewed	asr_disagreement		-tPCytz4rww/16.mp4	mosei-multimodal-aligned-v1.0/sample_0054.npz
sample_0056	-vxjVxOeScU	4	P2	low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	21	21	21	21	not_reviewed	low_ctc_probability		-vxjVxOeScU/4.mp4	mosei-multimodal-aligned-v1.0/sample_0056.npz
sample_0064	-wny0OAz3g8	9	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	20	20	20	20	not_reviewed	asr_disagreement;low_ctc_probability		-wny0OAz3g8/9.mp4	mosei-multimodal-aligned-v1.0/sample_0064.npz
sample_0065	-571d8cVauQ	0	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	12	12	12	12	not_reviewed	asr_disagreement		-571d8cVauQ/0.mp4	mosei-multimodal-aligned-v1.0/sample_0065.npz
sample_0068	-I_e4mIh0yE	3	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	22	22	22	22	not_reviewed	asr_disagreement;low_ctc_probability		-I_e4mIh0yE/3.mp4	mosei-multimodal-aligned-v1.0/sample_0068.npz
sample_0071	-hnBHBN8p5A	7	P2	asr_disagreement;low_ctc_probability;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	13	13	13	13	not_reviewed	asr_disagreement;low_ctc_probability	vision_partial_coverage	-hnBHBN8p5A/7.mp4	mosei-multimodal-aligned-v1.0/sample_0071.npz
sample_0072	-hnBHBN8p5A	6	P2	asr_disagreement;low_ctc_probability;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	13	13	13	13	not_reviewed	asr_disagreement;low_ctc_probability	vision_partial_coverage	-hnBHBN8p5A/6.mp4	mosei-multimodal-aligned-v1.0/sample_0072.npz
sample_0073	-qDkUB0GgYY	6	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	16	16	16	16	not_reviewed	asr_disagreement;low_ctc_probability		-qDkUB0GgYY/6.mp4	mosei-multimodal-aligned-v1.0/sample_0073.npz
sample_0074	-uywlfIYOS8	4	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	18	18	18	18	not_reviewed	asr_disagreement		-uywlfIYOS8/4.mp4	mosei-multimodal-aligned-v1.0/sample_0074.npz
sample_0076	-9y-fZ3swSY	0	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	22	22	22	22	not_reviewed	asr_disagreement;low_ctc_probability		-9y-fZ3swSY/0.mp4	mosei-multimodal-aligned-v1.0/sample_0076.npz
sample_0077	-9y-fZ3swSY	4	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	9	9	9	9	not_reviewed	asr_disagreement;low_ctc_probability		-9y-fZ3swSY/4.mp4	mosei-multimodal-aligned-v1.0/sample_0077.npz
sample_0079	-AUZQgSxyPQ	2	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	41	41	41	41	not_reviewed	asr_disagreement;low_ctc_probability		-AUZQgSxyPQ/2.mp4	mosei-multimodal-aligned-v1.0/sample_0079.npz
sample_0080	-HeZS2-Prhc	2	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	16	16	16	16	not_reviewed	asr_disagreement		-HeZS2-Prhc/2.mp4	mosei-multimodal-aligned-v1.0/sample_0080.npz
sample_0084	-RfYyzHpjk4	11	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	17	17	17	17	not_reviewed	asr_disagreement		-RfYyzHpjk4/11.mp4	mosei-multimodal-aligned-v1.0/sample_0084.npz
sample_0086	-RfYyzHpjk4	2	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	25	25	25	25	not_reviewed	asr_disagreement;low_ctc_probability		-RfYyzHpjk4/2.mp4	mosei-multimodal-aligned-v1.0/sample_0086.npz
sample_0087	-UUCSKoHeMA	0	P2	low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	18	18	18	18	not_reviewed	low_ctc_probability		-UUCSKoHeMA/0.mp4	mosei-multimodal-aligned-v1.0/sample_0087.npz
sample_0089	-ri04Z7vwnc	2	P2	asr_disagreement;low_ctc_probability;vision_missing_words	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	16	16	5	5	not_reviewed	asr_disagreement;low_ctc_probability	vision_missing_words	-ri04Z7vwnc/2.mp4	mosei-multimodal-aligned-v1.0/sample_0089.npz
sample_0090	-ri04Z7vwnc	5	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	9	8	8	8	not_reviewed	asr_disagreement;low_ctc_probability		-ri04Z7vwnc/5.mp4	mosei-multimodal-aligned-v1.0/sample_0090.npz
sample_0091	-s9qJ7ATP7w	1	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	11	11	11	11	not_reviewed	asr_disagreement		-s9qJ7ATP7w/1.mp4	mosei-multimodal-aligned-v1.0/sample_0091.npz
sample_0092	-s9qJ7ATP7w	0	P2	low_ctc_probability;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	24	24	24	24	not_reviewed	low_ctc_probability	vision_partial_coverage	-s9qJ7ATP7w/0.mp4	mosei-multimodal-aligned-v1.0/sample_0092.npz
sample_0093	-s9qJ7ATP7w	5	P2	low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	19	19	19	19	not_reviewed	low_ctc_probability		-s9qJ7ATP7w/5.mp4	mosei-multimodal-aligned-v1.0/sample_0093.npz
sample_0094	-s9qJ7ATP7w	4	P2	asr_disagreement;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	9	9	9	9	not_reviewed	asr_disagreement	vision_partial_coverage	-s9qJ7ATP7w/4.mp4	mosei-multimodal-aligned-v1.0/sample_0094.npz
sample_0095	-s9qJ7ATP7w	7	P2	asr_disagreement;low_ctc_probability;vision_missing_words;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	28	28	20	20	not_reviewed	asr_disagreement;low_ctc_probability	vision_missing_words;vision_partial_coverage	-s9qJ7ATP7w/7.mp4	mosei-multimodal-aligned-v1.0/sample_0095.npz
sample_0096	-s9qJ7ATP7w	6	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	5	5	5	5	not_reviewed	asr_disagreement		-s9qJ7ATP7w/6.mp4	mosei-multimodal-aligned-v1.0/sample_0096.npz
sample_0097	-s9qJ7ATP7w	8	P2	asr_disagreement	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	13	12	12	12	not_reviewed	asr_disagreement		-s9qJ7ATP7w/8.mp4	mosei-multimodal-aligned-v1.0/sample_0097.npz
sample_0098	-yRb-Jum7EQ	1	P2	asr_disagreement;low_ctc_probability;vision_partial_coverage	Inspect the affected word intervals, video frame timestamps, and face detection coverage.	pending	49	49	49	49	not_reviewed	asr_disagreement;low_ctc_probability	vision_partial_coverage	-yRb-Jum7EQ/1.mp4	mosei-multimodal-aligned-v1.0/sample_0098.npz
sample_0099	-yRb-Jum7EQ	5	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	25	25	25	25	not_reviewed	asr_disagreement;low_ctc_probability		-yRb-Jum7EQ/5.mp4	mosei-multimodal-aligned-v1.0/sample_0099.npz
sample_0100	-yRb-Jum7EQ	6	P2	asr_disagreement;low_ctc_probability	Listen to the flagged phrase and inspect the automatic word boundaries.	pending	19	19	19	19	not_reviewed	asr_disagreement;low_ctc_probability		-yRb-Jum7EQ/6.mp4	mosei-multimodal-aligned-v1.0/sample_0100.npz
