file_id,video_sha256,video_duration_s,audio_duration_s,video_frames,transcript_words,timed_words,asr_wer,mean_ctc_probability,ctc_step_s,alignment_status,error,greedy_asr,stream_start_times_json
11,972bbc9b3f3cd620b2e576672301be7ccba0f54dae3a22b42194a3e322fd7905,5.803971,5.759,174,14,14,0.35714285714285715,0.7548954194690947,0.02,review,,I'D BE ASHAMED TO HAVE MADE THIS FILM IF IL'S A DIRECTOR S,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
12,5d4da7ef7e6a4a344a2b9657fadfa2207c3565a9f7c1fb806e629c95b453aff3,13.013997,12.8745625,388,35,35,0.11428571428571428,0.9444093504847166,0.02,automatic_candidate,,OR WORSE AN INDIVIDUAL PREVIOUSLY HAD GOOD CREDIT BUT USUALLY BY NO FAULT OF THEIR OWN OR PERHAPS BY FAULT OF THEIR OWN THEY HAVE LET THEIR CREDIT SEG AND A CREDSCORES VERY LOW,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
13,8a64f1201e0299f79d915aa87b4a9be811e346525589d1f41060c2533599a7cb,8.679002,8.679,260,27,27,0.4444444444444444,0.7108673193504725,0.02,review,,FOR EXAMPLE I CAN TAKE A SETOTATA AND FROM FROM THAT DATA A CONFEDER RELATIONSHIP BETWEEN ANY TWO OF THE GIVEN BEARER RMO,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
14,8f1c4cb4b1c97b31cd065317faef41465cfcda403ef12d1defce4a5d23b8e18e,10.350977,10.226375,308,24,24,0.44,0.839867493013128,0.02,review,,HE'S A COFOUNDER OF RAWSEN AND VITESTE LIMITED AND THE FORMER EXECUTIVE DIRECTOR OF UNIFORM FINAL EXAMINATION COURSES U F AT TORONO'S YORK UNIVERSITY,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
15,bdd4ea47f2dac729a445cdf34009b9dff6d66bdc8ca997b82814bd55dc7fc675,7.333333,7.298,220,17,17,1.411764705882353,0.37606682088046045,0.02,review,,HER FATHER THE BREAD WINTER DIED WHEN SHE WAS BARELY A YEAR OLD PUTTING THE FAMILY IN A DIRE FINANCIAL POSITION HOWEVER DESPITE THEIR POVER,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
16,819a4c15dce5b85d8f7717087ea660551c3044daf3cecba1d45d342ae85365e5,3.113997,3.0429375,93,8,8,0.875,0.7634002805771767,0.02,review,,ITA TERRIBLE IS A TERRIBLE MOVING I DO NOT,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
17,8a2f9bad44684ae0ba22f4ad39e848020dbac6acf7e5fe9d974f2448e6902462,9.666992,9.563,289,22,22,0.13636363636363635,0.9485042427705376,0.02,automatic_candidate,,TY APPLY THESE FOUR DESIGN CONCEPTS TO YOUR PRESENTATIONS IS SIMPLE EASY AND WILL MAKE PEOPLE THINK YOU TURNED INTO A DESIGN GOROEW,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
18,0faf17accce9e58d81b2cc4ff6b150f8bc7f1d2f620ba420944f5732f41d6759,18.808008,18.636,561,46,44,0.3181818181818182,0.887676596952501,0.02,automatic_candidate,,AND IN DENMARK THE FIRST BAULTIC COD FISHERY HAS BEEN EMA C CERIFIED MEANWHILE THE PHARAOH'S MACKRIL FISHRY HAS BEEN DENIED ON THE SEA CERFICATION BASED ON THE FACT THAT THE FISHERY IS FAILED TO REACH AN AGREEMENT ON MACREL CROTAS WITH NORWAY AND THE EUROPEAN UNION,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
19,26148d75d5b4c1ff6f69a36485cc02a771a74203d2c07d9d08f018bf88658217,13.683,13.6108125,409,33,33,0.06060606060606061,0.9646227931502724,0.02,automatic_candidate,,PEOPLE ARE SURPRISINGLY FORGIVING BRANDS WHEN THEY OWN UP TO MISTAKES AND UNFORTUNATELY SOME HATERS OUT THEIR LOVE TO POINT FINGERS AND JUMP ALL OVER IMPERFECTIONS BUT FOR THE MOST PART PEOPLE UNDERSTAND PE,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
20,0c75c37baddf51add457b20ad35e10166ff7baaa520f77bd6b2af2239c217a1c,10.952995,10.809875,326,34,34,0.45714285714285713,0.8833619276085057,0.02,review,,OUT AND OF COURSE CLICK IN THE LINK IN THE DESCRIPTION OF THIS VIDIOPHER MORE A AND WE'LL HAVE MORE LIVE UPDATES AND DOS STOCK MARKET VIDIO FOR YOU AT THE END OF THE DAY TO DAY RIGHT AND I DON'T F,"[{""codec_type"": ""video"", ""start_time"": ""0.000000""}, {""codec_type"": ""audio"", ""start_time"": ""0.000000""}]"
