file_id,sample_id,source_sha256,content_positions,source_zero_runs_json,observed_positions_json,class_probabilities_json
附件3_13,attachment3:附件3_13,9e2144ab4385636b259d9e358c7e511be5242c89340f894473317b7757f218b7,19,"{""text"": [], ""audio"": [[5, 6], [14, 15]], ""vision"": [[5, 6], [14, 15]]}","{""text"": 19, ""audio"": 17, ""vision"": 17}","[0.20201563835144043, 0.4285905063152313, 0.36939379572868347]"
附件3_14,attachment3:附件3_14,f6d45e8fa882062f70fd48ee1f7584b0a75ea0ed1c85a9eb218684e954dc1b82,23,"{""text"": [], ""audio"": [[21, 23]], ""vision"": [[21, 23]]}","{""text"": 23, ""audio"": 21, ""vision"": 21}","[0.6165838837623596, 0.2168351113796234, 0.16658098995685577]"
附件3_15,attachment3:附件3_15,263b960d4d66b25a3db447fb7a16aee7b7d735e8bee3fe55c7869ad3103bf9d4,27,"{""text"": [], ""audio"": [[2, 3], [6, 7], [18, 19]], ""vision"": [[2, 3], [6, 7], [18, 19]]}","{""text"": 27, ""audio"": 24, ""vision"": 24}","[0.03401801735162735, 0.21442954242229462, 0.751552402973175]"
附件3_16,attachment3:附件3_16,df8b4c881e3fc971d532988bbd161d8d9bf8c5d16c3e7a559bb7a4045e96547f,34,"{""text"": [], ""audio"": [[5, 6], [10, 11], [21, 22], [25, 26]], ""vision"": [[5, 6], [10, 11], [21, 22], [25, 26]]}","{""text"": 34, ""audio"": 30, ""vision"": 30}","[0.0031244296114891768, 0.01612180843949318, 0.9807538390159607]"
附件3_17,attachment3:附件3_17,b6c64a55fb8050cb9fda15b0245df8f16b20d2a25d9368485dd1229e213fdba5,22,"{""text"": [], ""audio"": [[1, 4], [5, 6], [12, 13], [15, 16], [18, 19], [21, 22]], ""vision"": [[1, 4], [5, 6], [12, 13], [15, 16], [18, 19], [21, 22]]}","{""text"": 22, ""audio"": 14, ""vision"": 14}","[0.3861663341522217, 0.43727338314056396, 0.17656028270721436]"
附件3_18,attachment3:附件3_18,dc8eb37586b93bdd4debe895041275fdabb94c3392bde667b4e0ccdc6429fab1,17,"{""text"": [], ""audio"": [[2, 4], [5, 6]], ""vision"": [[2, 4], [5, 6]]}","{""text"": 17, ""audio"": 14, ""vision"": 14}","[0.11414700001478195, 0.3857850134372711, 0.5000680088996887]"
附件3_19,attachment3:附件3_19,d3a912bc3c70b60c1021babc521f28a6a34f9e916c164ad0191182e587c2385a,24,"{""text"": [], ""audio"": [[3, 5], [7, 9], [13, 14], [17, 18], [21, 22]], ""vision"": [[3, 5], [7, 9], [13, 14], [17, 18], [21, 22]]}","{""text"": 24, ""audio"": 17, ""vision"": 17}","[0.505238950252533, 0.3511975407600403, 0.14356350898742676]"
附件3_20,attachment3:附件3_20,bf24c7189bba3904e911dd452266078d8ff15768438a9069e6596ff73a4b925e,48,"{""text"": [], ""audio"": [[6, 7], [8, 10], [11, 12], [21, 22], [26, 27], [31, 32], [38, 42], [43, 45], [48, 49]], ""vision"": [[6, 7], [8, 10], [11, 12], [21, 22], [26, 27], [31, 32], [38, 42], [43, 45], [48, 49]]}","{""text"": 48, ""audio"": 34, ""vision"": 34}","[0.18978986144065857, 0.5352020859718323, 0.27500805258750916]"
附件3_21,attachment3:附件3_21,c0605bd5757ff0c5dea345c96236ed7168ff976d37843572143efe11d6454600,9,"{""text"": [], ""audio"": [[2, 3], [4, 5], [8, 9]], ""vision"": [[2, 3], [4, 5], [8, 9]]}","{""text"": 9, ""audio"": 6, ""vision"": 6}","[0.061999402940273285, 0.4077512323856354, 0.5302493572235107]"
附件3_22,attachment3:附件3_22,6f9dc33f9d3e5680ee3a3b2b0c53b1bac51fb98f1d75375a2cb1224cd7bd4d43,17,"{""text"": [], ""audio"": [[7, 8], [12, 13], [14, 15], [16, 17]], ""vision"": [[7, 8], [12, 13], [14, 15], [16, 17]]}","{""text"": 17, ""audio"": 13, ""vision"": 13}","[0.19646547734737396, 0.36165881156921387, 0.4418756365776062]"
附件3_23,attachment3:附件3_23,5200bd05e2611777875eb1d88826bb56bb71dee4c708fec9d9f851222d243aae,13,"{""text"": [], ""audio"": [[6, 7], [10, 13]], ""vision"": [[6, 7], [10, 13]]}","{""text"": 13, ""audio"": 9, ""vision"": 9}","[0.06638751178979874, 0.5067840814590454, 0.42682844400405884]"
附件3_24,attachment3:附件3_24,76b1c126e2043f90afd5af00d51299bc8f5bf1bee8148f5ff904ccbeb931a5e5,8,"{""text"": [], ""audio"": [[1, 2], [7, 8]], ""vision"": [[1, 2], [7, 8]]}","{""text"": 8, ""audio"": 6, ""vision"": 6}","[0.19629597663879395, 0.31537318229675293, 0.4883308708667755]"
附件3_25,attachment3:附件3_25,88d52e2d0b0229ad6ec638e6e7463f6852f127ae9308fbee1cbc2405d8ebc4c8,9,"{""text"": [], ""audio"": [[1, 2], [5, 6]], ""vision"": [[1, 2], [5, 6]]}","{""text"": 9, ""audio"": 7, ""vision"": 7}","[0.12511879205703735, 0.5941610336303711, 0.28072017431259155]"
附件3_26,attachment3:附件3_26,e483daa1391987552f9ee7f21bffec918dd61267af36885a9ae3073813193234,22,"{""text"": [], ""audio"": [[1, 2], [5, 6], [11, 12], [15, 17], [22, 23]], ""vision"": [[1, 2], [5, 6], [11, 12], [15, 17], [22, 23]]}","{""text"": 22, ""audio"": 16, ""vision"": 16}","[0.09191454201936722, 0.23205062747001648, 0.6760348081588745]"
附件3_27,attachment3:附件3_27,27f16bbd4541196bb33f4caa36e038b2ff66fa72649f1b22f2328a5630de37ad,21,"{""text"": [], ""audio"": [[2, 5], [7, 8], [10, 11], [18, 19], [20, 22]], ""vision"": [[2, 5], [7, 8], [10, 11], [18, 19], [20, 22]]}","{""text"": 21, ""audio"": 13, ""vision"": 13}","[0.07224506884813309, 0.23916471004486084, 0.6885902881622314]"
附件3_28,attachment3:附件3_28,81def781fa8fa5aebb555631b59ce48ee71a10c9e4226f1a5b6d91a2078f8f32,33,"{""text"": [], ""audio"": [[6, 8], [10, 13], [21, 23], [26, 28], [29, 30], [31, 32]], ""vision"": [[6, 8], [10, 13], [21, 23], [26, 28], [29, 30], [31, 32]]}","{""text"": 33, ""audio"": 22, ""vision"": 22}","[0.06624902039766312, 0.49806004762649536, 0.4356909394264221]"
附件3_29,attachment3:附件3_29,8caf12e71117bd7334be12aba5af6322fb02a2397f8e2402e75391f4f9ef3686,18,"{""text"": [], ""audio"": [[2, 3], [7, 11], [15, 16], [17, 19]], ""vision"": [[2, 3], [7, 11], [15, 16], [17, 19]]}","{""text"": 18, ""audio"": 10, ""vision"": 10}","[0.11311066895723343, 0.3180641829967499, 0.5688251852989197]"
附件3_30,attachment3:附件3_30,a6b272abb5d083804b6902054d4180d55d3c1d5822c483967e70e6a9657546d3,24,"{""text"": [], ""audio"": [[1, 2], [4, 5], [7, 11], [14, 15], [18, 19], [20, 24]], ""vision"": [[1, 2], [4, 5], [7, 11], [14, 15], [18, 19], [20, 24]]}","{""text"": 24, ""audio"": 12, ""vision"": 12}","[0.22694024443626404, 0.5436772108078003, 0.22938257455825806]"
