sample_id	source_words	source_npz_sha256	human_review_status	manual_evidence_present	manual_review_date	manual_human_observation	manual_timing_status	manual_audio_status	manual_vision_status	manual_note	original_needs_review	source_exact_word_boundaries_manually_verified	automatic_timing_words	automatic_text_words	automatic_audio_words	automatic_vision_words	automatic_all_modalities_words	human_timing_unsupported_words	human_timing_unknown_words	human_timing_supported_words	review_filtered_timing_candidate_words	review_filtered_audio_word_candidate_words	review_filtered_vision_word_candidate_words	review_filtered_multimodal_candidate_words	strict_human_confirmed_timing_words	original_features_retained
sample_0018	22	fddcd7adbf0eb7d0e6bb241eed4dcfa935a95e7aeb6b65fafb485bf194127b67	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	22	22	22	22	22	0	22	0	22	22	22	22	0	true
sample_0019	65	40b53aedf07515f0c006808d8f607ef41fd4d39adfe54d840f497bda9984fee0	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	65	65	65	65	65	0	65	0	65	65	65	65	0	true
sample_0020	18	45c69c8aee2bc31d06fc5d19e0867d1ef19d78299f966e47e5673af9001edd86	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	18	18	18	18	18	0	18	0	18	18	18	18	0	true
sample_0021	14	f679de5822020bd1a0ea9586b2f2b4b1dc63f289fed06b8ae6029d7ce807fe5e	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	14	14	14	14	14	0	14	0	14	14	14	14	0	true
sample_0022	36	4e170441c612e7778f18310aed7b449c457c62d27cece8fbacb6649d6c02597c	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	36	36	36	36	36	0	36	0	36	36	36	36	0	true
sample_0023	41	fa347862d480a38fed0c3f98da20296f224cc7456974858f48181479b055a238	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	40	41	40	32	32	0	41	0	40	40	32	32	0	true
sample_0024	34	1692c5bd9d646b29b351beb649e287ac01c3bf5e4ef743431fb3ce19dbfac5ed	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	34	34	34	34	34	0	34	0	34	34	34	34	0	true
sample_0025	27	0d56c31310705a9975489f016c82e1b0927c428e5a9a3318451610c71ffd54de	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	27	27	27	27	27	0	27	0	27	27	27	27	0	true
sample_0026	15	fa92e6970aa624c894b575207cbb466e7645cd69a23cd182802b7737d2a7d8c5	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	15	15	15	15	15	0	15	0	15	15	15	15	0	true
sample_0027	16	7706ee682490ad519dd5c38195f84c0f19c71531a16fa5fd093dc542f020650b	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	16	16	16	16	16	0	16	0	16	16	16	16	0	true
sample_0028	22	1009209d359386f52877f7256fb102d810163fc74468be3ee68a76338e4a81ba	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	22	22	22	22	22	0	22	0	22	22	22	22	0	true
sample_0029	11	70be5b0afd7ae33dcb07ccb3100dc1e9b408f5bf1b4619c4d5233bd1366f1f2a	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	11	11	11	11	11	0	11	0	11	11	11	11	0	true
sample_0030	11	2015a382219a7a63b1614476af72e43f731e839663ee8cb67856ff33e411254f	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	11	11	11	11	11	0	11	0	11	11	11	11	0	true
sample_0031	20	a3356f8cba3e6d5f510b3c0b7ca1bbf775633e51a5623ff40cffa7dfc183f1cb	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	20	20	20	20	20	0	20	0	20	20	20	20	0	true
sample_0032	12	4d645effc9a8db42aa6575255f64124dc88a702eeef20c167b49d643758c5f03	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	12	12	12	12	12	0	12	0	12	12	12	12	0	true
sample_0033	10	c298271969fac6d6d6900381553c5d45c5b20e03e6d37c34607d6f63593d46f9	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	10	10	10	10	10	0	10	0	10	10	10	10	0	true
sample_0034	20	22101bb70f1f9812717c89b820d3fe09184e1bd6b6c3b9bf7bb2c3ffa772518b	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	20	20	20	20	20	0	20	0	20	20	20	20	0	true
sample_0035	8	619e704bbf8df9fcdb70fa11b4017714fcdafce98f943c65858ade97691ff7fd	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	8	8	8	8	8	0	8	0	8	8	8	8	0	true
sample_0036	9	48d20d91542afa7f88f1bbe380b41cba6fd148485887ece0b8b4e25c55ac7812	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	9	9	9	9	9	0	9	0	9	9	9	9	0	true
sample_0037	5	8608a3ba382f0ab0df6080a072bdf54efbf325c09513a1f1182ab64b80439adf	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	5	5	5	5	5	0	5	0	5	5	5	5	0	true
sample_0038	5	70182c49933b0e7df4b3a2c8415634c38c898d91306dcfc34525457d341bbab6	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	5	5	5	5	5	0	5	0	5	5	5	5	0	true
sample_0039	21	6f8a89bb5014e5c7edffcc1f5ed98a4836a5fadebcdf9b61b02fbc47f562611a	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	21	21	21	21	21	0	21	0	21	21	21	21	0	true
sample_0040	19	21c8a0cb763bf7b13d9ea0c9cc9511f03dcb7078a24903b73431a59c3ad188d4	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	19	19	19	19	19	0	19	0	19	19	19	19	0	true
sample_0041	43	2ddcda61d410502b94ff8d5b741a8a934eec95d4c896489e502f551d58897d3f	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	43	43	43	43	43	0	43	0	43	43	43	43	0	true
sample_0042	13	e36d514260260e2fe39f9e1f69d0048c7f5284017f6734b33ba282f898b5e3f1	unsupported_for_speech	true	2026-09-25	no_person_speaking	unsupported_for_speech	digital_silence_already_verified	no_speaker_face_confirmed	人工观察与整段数字静音检测一致；现有词时间没有语音依据。	true	false	13	13	13	0	0	13	0	0	0	0	0	0	0	true
sample_0043	11	62504fa0cda61c69474bb23b37e143ba63baa7e830188b2852e89939fc2d3249	unsupported_for_speech	true	2026-09-25	no_person_speaking	unsupported_for_speech	digital_silence_already_verified	face_features_do_not_prove_speech	人工观察与整段数字静音检测一致；现有词时间没有语音依据。	true	false	11	11	11	7	7	11	0	0	0	0	0	0	0	true
sample_0044	5	a420e12689354ea2fe798ee1ddefd3ae8d9646ff5e128addafd3b46fd709e360	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	5	5	5	5	5	0	5	0	5	5	5	5	0	true
sample_0045	22	4a785d5a436d2338224b006f670b7cfbb927f6aa868f80131328f4fa9f4d0c05	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	22	22	22	22	22	0	22	0	22	22	22	22	0	true
sample_0046	11	54e79000f48822da74f7efe9fea1f08194741c2a43f46a8a68be41a9991a1355	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	11	11	11	11	11	0	11	0	11	11	11	11	0	true
sample_0047	12	f1b8aa4e61e6200554c6aed6fdfcbd9f5184f31482ad8f85b02e8ec1a247f1b1	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	12	12	12	12	12	0	12	0	12	12	12	12	0	true
sample_0048	12	cf6fcb94bbaaaa0ce7b4f2d0f9d465b9d579d6d081eba921f2c3683cefd70b6a	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	12	12	12	12	12	0	12	0	12	12	12	12	0	true
sample_0049	45	2baa3be779f253712cad94727b530de14ac09b98d74b8ba2b52546aad7344820	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	45	45	45	45	45	0	45	0	45	45	45	45	0	true
sample_0050	22	19d248ae80fbfbdbe420f3bb46af7724dce37c57d03abee5c5327e79db952ff1	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	22	22	22	22	22	0	22	0	22	22	22	22	0	true
sample_0051	17	056cfa287c4101a29ab8a7921acf02bbad3f5104110c807f19b4613da011a3bb	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	17	17	17	17	17	0	17	0	17	17	17	17	0	true
sample_0052	12	88d39135790bee5d2cd092cff707ee7930d44a313fc3fc44fd5e7c3ab2cb6f90	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	12	12	12	12	12	0	12	0	12	12	12	12	0	true
sample_0053	26	c189df36a74b2e38070d2d2d3027e43debcd344077d5c59178db0df0a065aac8	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	26	26	26	26	26	0	26	0	26	26	26	26	0	true
sample_0054	16	12d5c538807cb7e77a120c3cef5abba3fdff31c26efe2f1d28fab08769bf9668	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	16	16	16	16	16	0	16	0	16	16	16	16	0	true
sample_0055	16	57b71d70d816dae3922bbc4e07327aa5891c49290142a9342ea686f41dd50c9f	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	16	16	16	16	16	0	16	0	16	16	16	16	0	true
sample_0056	21	daedacf1e07cd5b9b8f7a3cc80ab0f1990f2d975795e597e71d99156290dbd29	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	21	21	21	21	21	0	21	0	21	21	21	21	0	true
sample_0057	22	72e6281b23d809e971979b632bd46f2207a443a5700d45e0337dc1992aaf0b4b	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	22	22	22	22	22	0	22	0	22	22	22	22	0	true
sample_0058	23	f6f2184dc2f800ef871b97b638dbd955d33b093b469d819d6d189bd13a5fb234	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	22	23	22	22	22	0	23	0	22	22	22	22	0	true
sample_0059	9	5a41674f782d461e1580d7b811973b3b335370e4b0a32ebf16639a5a953cfbb7	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	9	9	9	9	9	0	9	0	9	9	9	9	0	true
sample_0060	20	8b2bd23b408266b10fab0f83c4eb0490bee8f8f867550b0b4b48e120641cdb01	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	20	20	20	20	20	0	20	0	20	20	20	20	0	true
sample_0061	23	75c143826e65df1a8d735d429bc67a1e9ee79319d03fccc4c9aa00de2620a663	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	23	23	23	23	23	0	23	0	23	23	23	23	0	true
sample_0062	20	4b9cd13b2d5191e3130225437049f042fc28aa4aa1da2aa2d1aa901754a4667a	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	20	20	20	20	20	0	20	0	20	20	20	20	0	true
sample_0063	29	955e9274044b2faa7c65cdeb3189fe163d8db826097b4c778a75abae64a62e44	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	29	29	29	29	29	0	29	0	29	29	29	29	0	true
sample_0064	20	254ddef3f17e922df15aca424cf2ba464f3b888930b004c426725d3b159e4747	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	20	20	20	20	20	0	20	0	20	20	20	20	0	true
sample_0065	12	6a29dee0d483712b222f112c83fd0e1e55bfd542a8f3880b6c1568d2d61d59fd	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	12	12	12	12	12	0	12	0	12	12	12	12	0	true
sample_0066	43	5b81bbc11ddf43a76596806f49c485b8f0ed45840a36dfba66e0adce128020f3	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	43	43	43	43	43	0	43	0	43	43	43	43	0	true
sample_0067	18	417639fef8aa2ae51c0c255517d5f64ee89600c59c1f7ad92885957eee900c07	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	18	18	18	18	18	0	18	0	18	18	18	18	0	true
sample_0068	22	f19d80df73abe9b76b8eacd4f5b43214c33e4668b8558c2b5189e0b493511427	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	22	22	22	22	22	0	22	0	22	22	22	22	0	true
sample_0069	18	363d0207418fd80e6d0f670e7a0b038bd0cf5da868936d8ff63eaf793ec61f47	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	18	18	18	18	18	0	18	0	18	18	18	18	0	true
sample_0070	14	3f44bd066564653c2a11efa09bf0d731154df67f125ca8776e9bbd24b89eab95	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	14	14	14	14	14	0	14	0	14	14	14	14	0	true
sample_0071	13	617f459343485694572970492e52b83dad751bf787798c8b11cb24f5b7275e2d	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	13	13	13	13	13	0	13	0	13	13	13	13	0	true
sample_0072	13	4b6f37c55ce59320bdf8cc79a2ff9e66f9cb60d319299eee6a257c92cb2a661b	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	13	13	13	13	13	0	13	0	13	13	13	13	0	true
sample_0073	16	51991a2515d25d419e3a264c0a12e878b15a808c65c052a7edf315a2a43dfc84	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	16	16	16	16	16	0	16	0	16	16	16	16	0	true
sample_0074	18	8e67974047f32df86ebe2c5019f0ddaa92039651b7c9ee150d6f178af4cabeb7	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	18	18	18	18	18	0	18	0	18	18	18	18	0	true
sample_0075	34	62f11881b9c39d7b6e23f9dc7e3bbb9fac0330209511190a353029ed6af3b3b6	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	34	34	34	34	34	0	34	0	34	34	34	34	0	true
sample_0076	22	9fe10f4b1a18aa38b99ae365da10290e978661519b618c24bd1d531fa22fd7ba	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	22	22	22	22	22	0	22	0	22	22	22	22	0	true
sample_0077	9	dfed61c0d3bc6671d1249e4e70b98d884793ff4968a4c96487949d3129604356	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	9	9	9	9	9	0	9	0	9	9	9	9	0	true
sample_0078	12	62f0a0b7c5d55f650e6f0512e138fceadbc2a83c113d4b38e9591cc12723ee6e	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	12	12	12	12	12	0	12	0	12	12	12	12	0	true
sample_0079	41	64cb8c47fd06b9a3242254d5f7907ecfec294d4937a5332c8434bad4a796d7de	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	41	41	41	41	41	0	41	0	41	41	41	41	0	true
sample_0080	16	35a22ec5abc4b515f1f6dacfbf7f3753decfb43c37e1970c947dccb2ccc5c32d	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	16	16	16	16	16	0	16	0	16	16	16	16	0	true
sample_0081	21	20e34fda73c8580f494ea9f16e96498ae74876326bb457b4456118d69bd66dbd	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	21	21	21	21	21	0	21	0	21	21	21	21	0	true
sample_0082	14	43ae04cf8d2d8a72128a1bb593c5cab4a6993cf341a3a867e17cb3b90343acf4	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	14	14	14	14	14	0	14	0	14	14	14	14	0	true
sample_0083	31	359b4f8104a87d087399097aed832b329341be4d2d32e549b80159891b897f45	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	31	31	31	31	31	0	31	0	31	31	31	31	0	true
sample_0084	17	9566dbd69a28805e9e56112e8b08e5cb1dc747bcffd791b5d19732dd8d6710a9	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	17	17	17	17	17	0	17	0	17	17	17	17	0	true
sample_0085	17	b132f81a873c716adad9a23783c7128c8173556ccbcad7799659827b37694fbf	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		false	false	17	17	17	17	17	0	17	0	17	17	17	17	0	true
sample_0086	25	066223755062c257734ef35811b85bfa125d851c7b1e959e8aba3e74e5ea27da	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	25	25	25	25	25	0	25	0	25	25	25	25	0	true
sample_0087	18	e99d443fef087e56068fab2b0aab3a551f6536f01325ba3c2ec36551d9e59480	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	18	18	18	18	18	0	18	0	18	18	18	18	0	true
sample_0088	8	428779b6178d4b1388b67c2d56cacb5b01c2ca62d71c8d8c9c3cb037250f7df4	unsupported_for_speech	true	2026-09-25	no_person_speaking	unsupported_for_speech	no_spoken_content_observed	no_speaker_face_confirmed	人工播放观察：未听到有人说话；不把CTC时间当作语音边界。	true	false	8	8	8	0	0	8	0	0	0	0	0	0	0	true
sample_0089	16	383f56003fda57e86f09abec9b15993fc17ada9b7a398254d9ede9d9f6ea2ee6	not_adjudicated_in_this_overlay	false			not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay	not_adjudicated_in_this_overlay		true	false	16	16	16	5	5	0	16	0	16	16	5	5	0	true
